,School,Date,Item,Remarks,
,"Lagoon, The",Post 1939,[14/7627],Administrative file,
,"Lagoon, The",1876-1905,[5/16534.2],Administrative file,
,"Lagoon, The",1905-1939,[5/16535.1],Administrative file,
,"Lagoons, The",-,[5/18297],Proposed school,
,Laguna,1952-1956,[1/4249],Half-yearly Exam Book. Record at University of Newcastle,
,Laguna,12.10.1880-08.09.1925,[1/4250],Admission Register. Record at University of Newcastle,
,Laguna,16.01.1882-21.01.1914,[1/4251],Admission Register. Record at University of Newcastle,
,Laguna,1878-1917,[5/16535.3],Administrative file,
,Laguna,1917-1939,[5/16536.1],Administrative file,
,Laguna,05.09.1902-27.03.1969,[1/4243],Punishment Book Record at University of Newcastle,
,Laguna,16.02.1911-11.12.1958,[1/4244],Visitors' Book. Record at University of Newcastle,
,Laguna,20.03.1906-15.04.1935,[1/4245],Observation Book. Record at University of Newcastle,
,Laguna,26.03.1936-23.11.1960,[1/4246],Observation Book. Record at University of Newcastle,
,Laguna,1957-1962,[1/4247],Half-yearly Exam Book. Record at University of Newcastle,
,Laguna,1940-1951,[1/4248],Half-yearly Exam Book. Record at University of Newcastle,
,Laguna Street,Post 1939,[14/7627],Administrative file,
,Lake Albert,Post 1939,[14/7628],Administrative file,
,Lake Albert,1876-1912,[5/16536.2],Administrative file,
,Lake Albert,1912-1939,[5/16537.1],Administrative file,
,Lake Albert,1906-28,[NRS 20366],Observation book,
,Lake Bathurst,14.09.1959-18.11.1968,[1/3596],Admission Register,
,Lake Bathurst,01.03.1961-26.11.1968,[1/3597],Punishment Book,
,Lake Bathurst,09.04.1942-22.11.1967,[1/3598],Observation Book,
,Lake Bathurst,1945-1968,[1/3599],Visitors' Book,
,Lake Bathurst,10.02.1965-03.02.1969,[1/3603],Visitors' Book,
,Lake Bathurst,01.09.1913-03.02.1964,[1/3605],Admission Register,
,Lake Bathurst,1955-1967,[1/3654],Equipment Register,
,Lake Bathurst,16.06.1966-07.02.1969,[1/9985],Visitors' Book (Clergy),
,Lake Bathurst,1967-1969,[1/9986],Stock Book,
,Lake Bathurst,Post 1939,[14/7628],Administrative file,
,Lake Bathurst,1890-1935,[5/16537.2],Administrative file,
,Lake Bathurst,1935-1937,[5/16538.1],Administrative file,
,Lake Bathurst East,Pre 1939,[5/16538.2],Administrative file,
,Lake Burrill,-,[5/18297],Proposed school,
,Lake Cargelligo,Post 1939,[14/7628],Administrative file,
,Lake Cargelligo,1879-1910,[5/16538.3],Administrative file,
,Lake Cargelligo,1910-1939,[5/16539.1],Administrative file,
,Lake Cowal,-,[5/18297],Proposed school,
,Lake Heights,Post 1939,[14/7628],Administrative file,
,Lake Illawarra South,Post 1939,[14/7629],Administrative file,
,Lake Illawarra South,Pre 1939,[5/16539.2],Administrative file,
,Lake Keepit,Post 1939,[14/7629],Administrative file,
,Lake Munmorah,1970,[1/3147],Programme and Lesson Register,
,Lake Munmorah,1972,[1/3148],Programme and Lesson Register,
,Lake Munmorah,20.09.1962-04.12.1974,[1/3149],Visitors' Book (Clergy),
,Lake Munmorah,31.10.1939-28.12.1968,[1/3150],Observation Book,
,Lake Munmorah,1962-1965,[1/3151],Examination Book,
,Lake Munmorah,1966-1973,[1/3152],Examination Book,
,Lake Munmorah,Post 1939,[14/7629],Administrative file,
,Lake Munmorah,Pre 1939,[5/16546.1],Administrative file,
,Lake Plain,Pre 1939,[5/16546.2],Administrative file,
,Lake View,Pre 1939,[5/16547.1],Administrative file,
,Lake Wyangan,1925-1957,[1/7784],Admission Register,
,Lake Wyangan,1951-1969,[1/7785],Admission Register,
,Lake Wyangan,1962-1964,[1/7786],Minute Book - Staff Meetings,
,Lake Wyangan,1966,[1/7788],Programme and Lesson Register,
,Lake Wyangan,1966,[1/7789],Programme and Lesson Register,
,Lake Wyangan,1966,[1/7790],Programme and Lesson Register,
,Lake Wyangan,1925-1974,[1/8625],Punishment Book,
,Lake Wyangan,1969,[1/8626],Programme and Lesson Register,
,Lake Wyangan,Pre 1939,[5/16547.2],Administrative file,
,Lakelands (1),Pre 1939,[5/16540.1],Administrative file,
,Lakelands (2),Post 1939,[14/7629],Administrative file,
,Lakemba,1954-1965,[1/8649],Admission Register (Girls),
,Lakemba,1935-1953,[1/8650],Admission Register (Girls),
,Lakemba,1918-1937,[1/8651],Admission Register (Girls),
,Lakemba,1955-1957,[1/8652],Admission Register,
,Lakemba,1935-1939,[1/8653],Minute Book,
,Lakemba,1939-1951,[1/8654],Minute Book,
,Lakemba,1957-1965,[1/8655],Admission Register (Boys),
,Lakemba,1966-1967,[1/8656],Admission Register (Boys),
,Lakemba,Post 1939,[14/7629],Administrative file,
,Lakemba,1910-1917,[5/16540.2],Administrative file,
,Lakemba,1917-1924,[5/16541],Administrative file (3 bundles A-C),
,Lakemba,1924-1929,[5/16542],Administrative file (3 bundles A-C),
,Lakemba,1930-1933,[5/16543],Administrative file (3 bundles A-C),
,Lakemba,1934-1937,[5/16544],"Administrative file (2 bundles, A and B)",
,Lakemba,1937-1939,[5/16545.1],Administrative file,
,Lakemba South,Post 1939,[14/7630],Administrative file,
,Lakemba South,Pre 1939,[5/16545.2],Administrative file,
,Lakeside SSP,Post 1939,[14/7630],Administrative file,
,Lalalty,Post 1939,[14/7630],Administrative file,
,Lalalty,1890-1916,[5/16547.3],Administrative file,
,Lalalty,1917-1939,[5/16548.1],Administrative file,
,Lalla Rookh,Pre 1939,[5/16548.2],Administrative file,
,Lalor Park,Post 1939,[14/7630],Administrative file,
,Lambing Hill,Post 1939,[14/7630],Administrative file,
,Lambing Hill,Pre 1939,[5/16548.3],Administrative file,
,Lambs Creek,-,[5/18297],Proposed school,
,Lambs Valley,Pre 1939,[5/16549.1],Administrative file,
,Lambton,Post 1939,[14/7630],Administrative file,
,Lambton,1876-1889,[5/16549.2],Administrative file,
,Lambton,1889-1907,[5/16550],"Administrative file (2 bundles, A and B)",
,Lambton,1907-1926,[5/16551],"Administrative file (2 bundles, A and B)",
,Lambton,1926-1939,[5/16552],"Administrative file (2 bundles, A and B)",
,Lambton East,-,[5/18297],Proposed school,
,Lambton High,Post 1939,[14/7631],Administrative file,
,Lammengunyah,Post 1939,[14/7631],Administrative file,
,Lammengunyah,Pre 1939,[5/16553.1],Administrative file,
,Lammerlon,18.07.1960-11.11.1966,[1/10276 part],Correspondence re closure of schools,
,Lammerlong,Pre 1939,[5/16553.2],Administrative file,
,Lammermuir,Pre 1939,[5/16553.3],Administrative file,
,Lamorna,Pre 1939,[5/16553.4],Administrative file,
,Landale,Pre 1939,[5/16553.5],Administrative file,
,Lane Cove,Pre 1939,[5/16554.1],Administrative file,
,Lane Cove,1927-1929,[5/16555],"Administrative file (2 bundles, A and B)",
,Lane Cove,1930-1933,[5/16556],"Administrative file (2 bundles, A and B)",
,Lane Cove,1934-1939,[5/16557],"Administrative file (2 bundles, A and B)",
,Lane Cove (1) - (2),1878-1927,[5/16554.2],Administrative file,
,Lane Cove RC,Pre 1939,[5/16558.1],Administrative file,
,Lane Cove West,Post 1939,[14/7631],Administrative file,
,Lane Cove West,1951,[5/16558.2],Administrative file,
,Langely Park,Pre 1939,[5/16558.3],Administrative file,
,Langely Vale,Post 1939,[14/7631],Administrative file,
,Langely Vale,Pre 1939,[5/16558.4],Administrative file,
,Langidoon,-,[5/18297],Proposed school,
,Langlea,-,[5/18297],Proposed school,
,Langley Vale,n.d.,[1/3666],Record of condemnings,
,Langley Vale,n.d.,[1/3667],Equipment Register,
,Langley Vale,Post 1939,[14/7631],Administrative file,
,Langs Creek,Pre 1939,[5/16558.5],Administrative file,
,Langunyah,Post 1939,[14/7631],Administrative file,
,Langunyah,Pre 1939,[5/16558.6],Administrative file,
,Langwell,-,[5/18297],Proposed school,
,Lankeys Creek,Pre 1939,[5/16559.1],Administrative file,
,Lankeys Creek,28.9.1923-12.5.1932,[NRS 19832],Class Roll,
,Lansdale,Pre 1939,[5/16559.2],Administrative file,
,Lansdowne,Post 1939,[14/7632],Administrative file,
,Lansdowne (1) - (2),1887-1927,[5/16559.3],Administrative file,
,Lansdowne (1) - (2),1928-1939,[5/16560.1],Administrative file,
,Lansdowne Central,-,[1/7979],School Plaque (Foundation),
,Lansdowne Central,1966-1971,[1/7980],Visitors' Book,
,Lansdowne Central,1966-1971,[1/7981],Visitors' Book,
,Lansdowne Central,1965-1970,[1/7982],Observation Book,
,Lansdowne Central,1939-1961,[1/7983],Observation Book,
,Lansdowne Central,c.1965,[1/7984],Visitors' Book,
,Lansdowne Central,1914-1971,[1/7985],Punishment Book,
,Lansdowne Central,1955,[1/7986],School Celebration Programme and photographs,
,Lansdowne Central,1908-1971,[1/7987A],Admission Register,
,Lansdowne Central,Post 1939,[14/7632],Administrative file,
,Lansdowne Upper,Post 1939,[14/7632],Administrative file,
,Lansdowne Upper,1878-1925,[5/16560.2],Administrative file,
,Lansdowne Upper,1925-1939,[5/16561.1],Administrative file,
,Lansvale,Post 1939,[14/7632],Administrative file,
,Lansvale East,Post 1939,[14/7632],Administrative file,
,Lapstone,Post 1939,[14/7633],Administrative file,
,Lara,-,[5/18297],Proposed school,
,Larbert,Post 1939,[14/7633],Administrative file,
,Larbert,Pre 1939,[5/16562.2],Administrative file,
,Larbert East,Pre 1939,[5/16562.3],Administrative file,
,Largs,Post 1939,[14/7633],Administrative file,
,Largs,1892-1907,[5/16562.4],Administrative file,
,Largs,1907-1939,[5/16563.1],"Administrative file (2 bundles, A and B)",
,Larnook,Pre 1939,[5/16563.2],Administrative file,
,Larras Lee,1926-1963,[1/8573 part],Admission Register,
,Larras Lee,1961-1970,[1/8574],Punishment Book,
,Larras Lee,1942-1968,[1/8575],Observation Book,
,Larras Lee,1962-1972,[1/8576],Variation of Routine,
,Larras Lee,1961-1973,[1/8577],Admission Register,
,Larras Lee,1960-1973,[1/8578],Visitors' Book,
,Larras Lee,Post 1939,[14/7633],Administrative file,
,Larrys Flat,Pre 1939,[5/16564.1],Administrative file,
,Larrys Point,Pre 1939,[5/16564.2],Administrative file,
,Laughtondale,Post 1939,[14/7633],Administrative file,
,Laughtondale,Pre 1939,[5/16564.3],Administrative file,
,Laura,Post 1939,[14/7633],Administrative file,
,Laura (1) - (2),Pre 1939,[5/16565.1],Administrative file,
,Laurel Grove,-,[5/18297],Proposed school,
,Laurel Hill,1950-1969,[1/6978],Punishment Book,
,Laurel Hill,1946-1965,[1/6979],Admission Register,
,Laurel Hill,1966-1970,[1/6980],Admission Register,
,Laurel Hill,1947-1969,[1/6981],Observation Book,
,Laurel Hill,1946-1967,[1/6982],Visitors' Book,
,Laurel Hill,1967-1970,[1/6983],Visitors' Book,
,Laurel Hill,09.03.1965,[1/6984A],Observation Book,
,Laurel Hill,Post 1939,[14/7634],Administrative file,
,Laurel Hill,Pre 1939,[5/16565.2],Administrative file,
,Laureston,-,[5/18297],Proposed school,
,Laurieton,Post 1939,[14/7634],Administrative file,
,Laurieton,1875-1925,[5/16565.3],Administrative file,
,Laurieton,1925-1939,[5/16566.1],Administrative file,
,Laurieton,1924,[SR Plan 61621],Plan extracted from the School File [5/16565],
,Lavadia,Pre 1939,[5/16566.2],Administrative file,
,Lavington,Post 1939,[14/7634],Administrative file,
,Lavington,Pre 1939,[5/16567],Administrative file,
,Lavington East,Post 1939,[14/7634],Administrative file,
,Lawrence,1876-1915,[5/16568],Administrative file (3 bundles A-C),
,Lawrence,1915-1939,[5/16569.1],Administrative file,
,Lawrence Cross Roads,Pre 1939,[5/16569.2],Administrative file,
,Lawrence Hargrave SSP,Post 1939,[14/7635],Administrative file,
,Lawrence Lower,Post 1939,[14/7635],Administrative file,
,Lawrence Lower,1883-1900,[5/16569.3],Administrative file,
,Lawrence Lower,1900-1939,[5/16570.1],Administrative file,
,Lawson,Post 1939,[14/7635],Administrative file,
,Lawson,1880-1901,[5/16570.2],Administrative file,
,Lawson,1901-1939,[5/16571],"Administrative file (2 bundles, A and B)",
,Lawson Park,-,[5/18297],Proposed school,
,Lawson Public School,1931-1995,[NRS 17416],Register of Admissions,
,Lawsons Creek,Post 1939,[14/7635],Administrative file,
,Lawsons Creek,Pre 1939,[5/16572.1],Administrative file,
,Leadville,Post 1939,[14/7635],Administrative file,
,Leadville,1891-1934,[5/16572.2],Administrative file,
,Leadville,1934-1939,[5/16573.1],Administrative file,
,Leak Clift,Post 1939,[14/7636],Administrative file,
,Leak Clift,Pre 1939,[5/16573.2],Administrative file,
,Leamington,Pre 1939,[5/16573.3],Administrative file,
,Leaning Oak,Pre 1939,[5/16573.4],Administrative file,
,Leconfield,1890-1893,[5/16574.1],Administrative file,
,Ledgerton,Pre 1939,[5/16574.2],Administrative file,
,Leechs Gully,Post 1939,[14/7636],Administrative file,
,Leechs Gully,Pre 1939,[5/16574.3],Administrative file,
,Leefield,02.08.1926-26.04.1935,[1/4593],Admission Register,
,Leefield,Pre 1939,[5/16574.4],Administrative file,
,Leeton,1923-1927,[5/16576],"Administrative file (2 bundles, A and B)",
,Leeton,1927-1934,[5/16577],Administrative file (3 bundles A-C),
,Leeton,1934-1939,[5/16578],Administrative file,
,Leeton,Post 1939,[14/7636],Administrative file,
,Leeton,1912-1923,[5/16575],"Administrative file (2 bundles, A and B)",
,Leeton High,Post 1939,[14/7636],Administrative file,
,Leets Vale,Post 1939,[14/7636],Administrative file,
,Leets Vale,Pre 1939,[5/16579.1],Administrative file,
,Leeville,1888-1956,[1/6276],Punishment Book,
,Leeville,1941-1963,[1/6277],Observation Book,
,Leeville,Post 1939,[14/7636],Administrative file,
,Legume,Post 1939,[14/7636],Administrative file,
,Legume,Pre 1939,[5/16579.2],Administrative file,
,Leichardt,1928-1930,[5/16588],"Administrative file (2 bundles, A and B)",
,Leichardt,1930-1933,[5/16589],"Administrative file (2 bundles, A and B)",
,Leichardt,1934-1936,[5/16590],"Administrative file (2 bundles, A and B)",
,Leichardt,1936-1939,[5/16591],"Administrative file (2 bundles, A and B)",
,Leichardt,1876-1891,[5/16580],"Administrative file (2 bundles, A and B)",
,Leichardt,1891-1898,[5/16581],"Administrative file (2 bundles, A and B)",
,Leichardt,1898-1908,[5/16582],"Administrative file (2 bundles, A and B)",
,Leichardt,1908-1913,[5/16583],"Administrative file (2 bundles, A and B)",
,Leichardt,1914-1916,[5/16584],"Administrative file (2 bundles, A and B)",
,Leichardt,1916-1920,[5/16585],"Administrative file (2 bundles, A and B)",
,Leichardt,1920-1926,[5/16586],"Administrative file (2 bundles, A and B)",
,Leichardt,1926-1928,[5/16587],"Administrative file (2 bundles, A and B)",
,Leichardt West,1882-1903,[5/16592],"Administrative file (2 bundles, A and B)",
,Leichardt West,1903-1911,[5/16593.1],Administrative file,
,Leichhardt,Post 1939,[14/7637],Administrative file,
,Leichhardt Girls High,Post 1939,[14/7637],Administrative file,
,Leichhardt High,Post 1939,[14/7637],Administrative file,
,Leigh,22.10.1909-24.02.1967,[1/8842],Punishment Book,
,Leigh,22.10.1909-24.11.1966,[1/8843],Visitors' Book,
,Leigh,09.05.1930-15.10.1947,[1/8844],Observation Book,
,Leigh,24.02.1949-12.09.1966,[1/8845],Observation Book,
,Leigh,15.07.1912-31.01.1967,[1/8846],Admission Register,
,Leigh,Post 1939,[14/7637],Administrative file,
,Leigh,Pre 1939,[5/16593.2],Administrative file,
,Leighton Park,Pre 1939,[5/16594.1],Administrative file,
,Leighwood,Pre 1939,[5/16594.2],Administrative file,
,Lemington,11.07.1935-06.08.1971,[1/9011],Observation Book,
,Lemington,1935-26.02.1975,[1/9012],Visitors' Book,
,Lemington,29.01.1935-18.11.1970,[1/9174],Admission Register,
,Lemington,03.02.1971 - 23.02.1976,[1/9175],Admission register,
,Lemington,1971-1972,[1/9176],Register of continuation classes for new Australians,
,Lemington,Post 1939,[14/7637],Administrative file,
,Lemington,Pre 1939,[5/16594.3],Administrative file,
,Lemon Tree Passage,Post 1939,[14/7638],Administrative file,
,Leniston,Pre 1939,[5/16595.1],Administrative file,
,Lennox Head,Post 1939,[14/7638],Administrative file,
,Leonay,Post 1939,[14/7638],Administrative file,
,Leppington,Post 1939,[14/7638],Administrative file,
,Lerida,Pre 1939,[5/16595.2],Administrative file,
,Lesterfield,Pre 1939,[5/16595.3],Administrative file,
,Leston,Pre 1939,[5/16595.4],Administrative file,
,Lethbridge Park,Post 1939,[14/7638],Administrative file,
,Lett,Pre 1939,[5/16595.5],Administrative file,
,Letts Creek,Pre 1939,[5/16595.6],Administrative file,
,Leumeah,Post 1939,[14/7638],Administrative file,
,Leumeah High,Post 1939,[14/7638],Administrative file,
,Leumeah Infants,02.02.1954-01.03.1966,[1/8838],Admission Register,
,Leumeah Infants,20.10.1954-07.05.1962,[1/8839],Observation Book,
,Leumeah Infants,15.03.1954-11.06.1965,[1/8840],Visitors' Book,
,Leumeah Infants,06.07.1960-06.04.1966,[1/8841],Visitors' Book (Clergy),
,Leura,Post 1939,[14/7639],Administrative file,
,Leura,Pre 1939,[5/16596],Administrative file,
,Leura Public School,1957-1982,[NRS 20136],Register of Admissions,
,Leviathan,Post 1939,[14/7639],Administrative file,
,Leviathan,Pre 1939,[5/16597.1],Administrative file,
,Lewinsbrook,21.01.1918-14.02.1963,[1/8941],Admission Register. Record at University of Newcastle,
,Lewinsbrook,21.08.1918-09.05.1962,[1/8942],Punishment Book Record at University of Newcastle,
,Lewinsbrook,1933-1962,[1/8943],Observation Book. Record at University of Newcastle,
,Lewinsbrook,19.02.1918-09.05.1964,[1/8944],Visitors' Book. Record at University of Newcastle,
,Lewinsbrook,05.06.1962-05.05.1964,[1/8945],Visitors' Book (Clergy). Record at University of Newcastle,
,Lewinsbrook,Post 1939,[14/7639],Administrative file,
,Lewinsbrook,"1877, 1917-1932",[5/16597.2],Administrative file,
,Lewis Ponds,1951-1956,[1/7713],Correspondence,
,Lewis Ponds,1951,[1/7722 part],Correspondence,
,Lewis Ponds,Post 1939,[14/7640],Administrative file,
,Lewis Ponds,1876-1916,[5/16597.3],"Administrative file (2 bundles, A and B)",
,Lewis Ponds,1916-1939,[5/16598.1],Administrative file,
,Lewisham,Post 1939,[14/7639],Administrative file,
,Leycester,Post 1939,[14/7640],Administrative file,
,Leycester,Pre 1939,[5/16598.2],Administrative file,
,Lidcombe,Post 1939,[14/7640],Administrative file,
,Lidcombe,1912-1918,[5/16598.3],"Administrative file (2 bundles, A and B)",
,Lidcombe,1918-1925,[5/16599],Administrative file (3 bundles A-C),
,Lidcombe,1925-1929,[5/16600],Administrative file (3 bundles A-C),
,Lidcombe,1929-1933,[5/16601],Administrative file,
,Lidcombe,1934-1939,[5/16602],Administrative file,
,Lidsdale,Pre 1939,[5/16603.1],Administrative file,
,Lidster,Pre 1939,[5/16603.2],Administrative file,
,Lightning Ridge,Post 1939,[14/7641],Administrative file,
,Lightning Ridge,Pre 1939,[5/16603.3],Administrative file,
,Lightning Ridge Public School,1933-2008,[NRS 18972],Register of Admission,
,Lilaville,-,[5/18297],Proposed school,
,Lilli Pilli,Post 1939,[14/7641],Administrative file,
,Lilli Pilli,Pre 1939,[5/16604.2],Administrative file,
,Lillian Rock,1924-1973,[1/8570],Visitors' Book,
,Lillian Rock,1924-1973,[1/8571],Admission Register,
,Lillian Rock,1924-1973,[1/8572],Punishment Book,
,Lillian Rock,Post 1939,[14/7641],Administrative file,
,Lillian Rock,Pre 1939,[5/16604.1],Administrative file,
,Lilly Grove,Pre 1939,[5/16604.3],Administrative file,
,Lilly Grove,1929,[SR Plan 61622],Plan extracted from the School File [5/16604],
,Lillydale,Pre 1939,[5/16604.4],Administrative file,
,Lillyville,Pre 1939,[5/16605],"Administrative file (2 bundles, A and B)",
,Lily Grove,Post 1939,[14/7641],Administrative file,
,Lilyfield,-,[5/18297],Proposed school,
,Lilyvale,-,[5/18297],Proposed school,
,Limbri,Pre 1939,[5/16606.1],Administrative file,
,Limeburners Creek,1963-1966,[1/8925],Equipment Register. Record at University of Newcastle,
,Limeburners Creek,24.02.1949-19.10.1966,[1/8926],Visitors' Book. Record at University of Newcastle,
,Limeburners Creek,16.02.1909-19.02.1966,[1/8927],Admission Register. Record at University of Newcastle,
,Limeburners Creek,09.11.1950-15.12.1966,[1/8928],Punishment Book Record at University of Newcastle,
,Limeburners Creek,20.02.1933-29.06.1966,[1/8929],Observation Book. Record at University of Newcastle,
,Limeburners Creek,Post 1939,[14/7641],Administrative file,
,Limeburners Creek,Pre 1939,[5/16606.2],Administrative file,
,Limekilns,Pre 1939,[5/16606.3],Administrative file,
,Limerick,Post 1939,[14/7641],Administrative file,
,Limerick,Pre 1939,[5/16607.1],Administrative file,
,Limestone,Pre 1939,[5/16607.2],Administrative file,
,Limestone Creek,Post 1939,[14/7641],Administrative file,
,Limestone Creek,Pre 1939,[5/16607.3],Administrative file,
,Limestone Flat,Pre 1939,[5/16607.4],Administrative file,
,Limestone Reserve,-,[5/18297],Proposed school,
,Limpinwood,Post 1939,[14/7641],Administrative file,
,Limpinwood,1913-1937,[5/16607.5],Administrative file,
,Limpinwood,1937-1939,[5/16608.1],Administrative file,
,Linburn,Pre 1939,[5/16608.2],"Administrative file (2 bundles, A and B)",
,Lincoln,Pre 1939,[5/16609.1],Administrative file,
,Lindendale,Pre 1939,[5/16609.2],Administrative file,
,Lindfield,Post 1939,[14/7642],Administrative file,
,Lindfield,1898-1920,[5/16610],"Administrative file (2 bundles, A and B)",
,Lindfield,1920-1931,[5/16611],"Administrative file (2 bundles, A and B)",
,Lindfield,1932-1939,[5/16612],"Administrative file (2 bundles, A and B)",
,Lindfield East,27.05.1929-10.05.1954,[1/4847],Admission Register,
,Lindfield East,Post 1939,[14/7642],Administrative file,
,Lindfield East,Pre 1939,[5/16613.1],Administrative file,
,Lindfield East Infants,1970-1977,[1/10683.1],School Club (Mother's Club) Minutes,
,Lindfield East Infants,1977-1983,[1/10683.2],School Club (Mother's Club) Minutes,
,Lindfield East Infants,1971-1979,[1/10683.3],School Club (Mother's Club) Committee Meetings,
,Lindon,Pre 1939,[5/16613.2],Administrative file,
,Lindsay Creek,-,[5/18297],Proposed school,
,Lindsay Park,Post 1939,[14/7642],Administrative file,
,Linton,Pre 1939,[5/16613.4],Administrative file,
,Lintondale,Pre 1939,[5/16613.3],Administrative file,
,Linwood,Post 1939,[14/7642],Administrative file,
,Linwood,Pre 1939,[5/16614.1],Administrative file,
,Lionsville,Pre 1939,[5/16614.2],Administrative file,
,Lirambenda,Post 1939,[14/7642],Administrative file,
,Lirambenda,Pre 1939,[5/16614.3],Administrative file,
,Lirambenoa,05.05.1952-15.02.1966,[1/10276 part],Inspection Reports,
,Lisarow,Pre 1939,[5/16614.4],Administrative file,
,Lisarow High,Post 1939,[14/7642],Administrative file,
,Lisarow High School,1980-1989,[NRS 18974],Register of admission,
,Lisarow Public School,1928-1974,[NRS 20141],Punishment book,
,Lisarow Public School,1928-1992,[NRS 20146],Register of Admissions,
,Lisgo,-,[5/18297],Proposed school,
,Lismore,1918-1920,[5/16619],Administrative file (3 bundles A-C),
,Lismore,1920-1925,[5/16620],Administrative file (3 bundles A-C),
,Lismore,1926-1929,[5/16621],Administrative file (3 bundles A-C),
,Lismore,1930-1931,[5/16622],"Administrative file (2 bundles, A and B)",
,Lismore,1932-1935,[5/16623],"Administrative file (2 bundles, A and B)",
,Lismore,1936-1939,[5/16624],Administrative file (3 bundles A-C),
,Lismore,1897-1904,[5/16616],"Administrative file (2 bundles, A and B)",
,Lismore,1904-1912,[5/16617],Administrative file (3 bundles A-C),
,Lismore,1912-1918,[5/16618],Administrative file (3 bundles A-C),
,Lismore (1),Post 1939,[14/7642],"Administrative file (2 bundles, A and B)",
,Lismore (1),1878-1896,[5/16615],Administrative file,
,Lismore (East),1940-1943,[14/7643],Administrative file,
,Lismore (East),1942-1979,[14/7644],Administrative file,
,Lismore (East) (2),Pre 1939,[5/16625.1],Administrative file,
,Lismore Heights,Post 1939,[14/7644],Administrative file,
,Lismore High,Post 1939,[14/7645],Administrative file,
,Lismore High,1919-1933,[5/16625.2],"Administrative file (2 bundles, A and B)",
,Lismore High,1934-1939,[5/16626],Administrative file (3 bundles A-C),
,Lismore North,Post 1939,[14/7646],Administrative file,
,Lismore North,Pre 1939,[5/16627.1],Administrative file,
,Lismore South,Post 1939,[14/7646],Administrative file,
,Lismore South,1900-1927,[5/16627.2],"Administrative file (2 bundles, A and B)",
,Lismore South,1927-1939,[5/16628],Administrative file (3 bundles A-C),
,Lister,-,[5/18298],Proposed school,
,Liston,1960-1966,[1/10780],Observation Book,
,Liston,Post 1939,[14/7646],Administrative file,
,Lithgow,1966,[1/7129],Programme and Lesson Register,
,Lithgow,1966,[1/7130],Programme and Lesson Register,
,Lithgow,1967,[1/7131],Programme and Lesson Register,
,Lithgow,1967,[1/7132],Programme and Lesson Register,
,Lithgow,1967,[1/7133],Programme and Lesson Register,
,Lithgow,1967,[1/7134],Programme and Lesson Register,
,Lithgow,1967,[1/7135],Programme and Lesson Register,
,Lithgow,1967,[1/7136],Programme and Lesson Register,
,Lithgow,1967,[1/7137],Programme and Lesson Register,
,Lithgow,1968,[1/7138],Programme and Lesson Register,
,Lithgow,Post 1939,[14/7646],"Administrative file (2 bundles, A and B)",
,Lithgow,1927-1929,[5/16334],Administrative file (3 bundles A-C),
,Lithgow,1878-1903,[5/16629],Administrative file (3 bundles A-C),
,Lithgow,1903-1910,[5/16630],Administrative file (3 bundles A-C),
,Lithgow,1910-1916,[5/16631],Administrative file (3 bundles A-C),
,Lithgow,1916-1919,[5/16632],"Administrative file (2 bundles, A and B)",
,Lithgow,1919-1927,[5/16633],"Administrative file (2 bundles, A and B)",
,Lithgow,1929-1930,[5/16635],Administrative file,
,Lithgow,1931-1933,[5/16636],"Administrative file (2 bundles, A and B)",
,Lithgow,1934-1937,[5/16637],Administrative file,
,Lithgow,1938-1939,[5/16638.1],Administrative file,
,Lithgow,1958-1959,[1/7100],Minutes of Staff Meeting,
,Lithgow,1960-1963,[1/7101],Minutes of Staff Meeting,
,Lithgow,1966-1968,[1/7102],Minutes of Staff Meeting,
,Lithgow,1945-1954,[1/7103],Admission Register,
,Lithgow,1959-1963,[1/7104],Visitors' Book,
,Lithgow,1963,[1/7105],Programme and Lesson Register,
,Lithgow,1963,[1/7106],Programme and Lesson Register,
,Lithgow,1963,[1/7107],Programme and Lesson Register,
,Lithgow,1964,[1/7108],Programme and Lesson Register,
,Lithgow,1964,[1/7109],Programme and Lesson Register,
,Lithgow,1964,[1/7110],Programme and Lesson Register,
,Lithgow,1964,[1/7111],Programme and Lesson Register,
,Lithgow,1965,[1/7112],Programme and Lesson Register,
,Lithgow,1965,[1/7113],Programme & Lesson register,
,Lithgow,1965,[1/7114],Programme & Lesson register,
,Lithgow,1965,[1/7115],Programme & Lesson register,
,Lithgow,1965,[1/7117],Programme & Lesson register,
,Lithgow,1965,[1/7118],Programme & Lesson register,
,Lithgow,1965,[1/7119],Programme & Lesson register,
,Lithgow,1965,[1/7120],Programme & Lesson register,
,Lithgow,1965,[1/7121],Programme & Lesson register,
,Lithgow,1966,[1/7122],Programme & Lesson register,
,Lithgow,1966,[1/7123],Programme & Lesson register,
,Lithgow,1966,[1/7124],Programme & Lesson register,
,Lithgow,1966,[1/7125],Programme & Lesson register,
,Lithgow,1966,[1/7126],Programme and Lesson Register,
,Lithgow,1966,[1/7127],Programme and Lesson Register,
,Lithgow,1966,[1/7128],Programme and Lesson Register,
,Lithgow High,1946-1969,[1/5440],"School magazine ""Zig Zag""",
,Lithgow High,1959-1961,[1/5956],Staff Meetings,
,Lithgow High,1962-1963,[1/5957],Staff Meetings,
,Lithgow High,1951-1956,[1/5958],Minute Book of School Council,
,Lithgow High,1938-1957,[1/5959],Minute Book of School Council,
,Lithgow High,1948-1952,[1/5960],Observation Book,
,Lithgow High,1959-1962,[1/5961],Punishment Book,
