Surname,FirstName,Hotel,Locality,Year,Day/Month,License,Citation,Remarks
GOOD,John,Duke of Wellington,"Phillip Street, Parramatta",1846,26 June,0303,NRS 14401 [4/78]; Reel 5060,
GOOD,John,"Corn Stalk Inn, The","Church Street, Parramatta",1860,17 April,0335,NRS 14403 [7/1512]; Reel 1241,
GOODALL,Richard,Prince of Wales,"Huntington, Macquarie",1844,15 July,0508,NRS 14401 [4/76]; Reel 5059,
GOODALL,Thomas,Red Cow Inn,"Ropes Creek, Penrith",1846,26 June,0315,NRS 14401 [4/80]; Reel 5060,"Red Cow, 1843; Transferred to William ROUSE"
GOODALL,Thomas,Red Cow,"Ropes Creek, Penrith",1845,27 June,0303,NRS 14401 [4/77]; Reel 5059,"Red Cow Inn, 1842"
GOODALL,Thomas,"Red Cow, The","Rosses Creek, District of Penrith",1844,28 June,0315,NRS 14401 [4/76]; Reel 5059,"Red Cow Inn, 1842"
GOODE,Jacob,"Burnett Inn, The","Noogoonida, District of Gayndah",1855,17 April,1153,NRS 14403 [7/1503]; Reel 1237,
GOODE,Jacob,"Burnett Inn, The","Noogoonida, District of Gayndah",1858,12 April,1473,NRS 14403 [7/1511]; Reel 1241,
GOODE,Jacob,"Burnett Inn, The","Noogoonida, District of Wide Bay and Burnett, Police district of Gayndah",1856,15 April,0654,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Gayndah
GOODE,Jacob,"Brisbane Hotel, The",South Brisbane,1847,10 August,0652,NRS 14401 [4/81]; Reel 5061,
GOODE,Jacob,"Burnett Inn, The","Noogoonida, District of Wide Bay and Burnett, Police district of Gayndah",1856,15 April,0654,NRS 14403 [7/1505]; Reel 1238,
GOODE,Jacob,"Burnett Inn, The","Noogoonida, District of Burnett",1853,10 May,0503,NRS 14403 [4/85]; Reel 5064,
GOODGE,William George,Melbourne Hotel,"King Street, Sydney",1856,15 April,1202,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
GOODGE,William George,"Melbourne Hotel, The","King Street, Sydney",1856,30 April,1202,NRS 14403 [7/1506]; Reel 1238,
GOODIN,James,Settlers Hall,"Parish of Prospect, Windsor Road, Parramatta",1835,9 July,0355,NRS 14401 [4/66]; Reel 5052,
GOODIN,James,"Settlers Hall, The","Prospect, Windsor Road, Parramatta; Parish of Prospect",1837,1 July,0124,NRS 14401 [4/68]; Reel 5053,
GOODLUCKE,Joseph,Camden Inn,"Argyle and Elizabeth Streets, Narellen, Camden",1842,21 June,0193,NRS 14401 [4/74]; Reel 5057,
GOODMAN,George Barry,"Circular Quay Hotel, The","Macquarie Place, Sydney",1847,21 July,0638,NRS 14401 [4/81]; Reel 5061,
GOODMAN,George Barry,"Circular Quay Hotel, The","The Circular Quay, District of Sydney",1848,29 June,0531,NRS 14401 [4/83]; Reel 5062,
GOODWIN,Alfred,Daniel O'Connell,"Singleton Road, Anvil Creek, District of Maitland",1856,15 April,0848,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Maitland
GOODWIN,Alfred,"Daniel O'Connell, The","Anvil Creek, District of Maitland",1856,15 April,0848,NRS 14403 [7/1505]; Reel 1238,
GOODWIN,Andrew,"Lord Rodney Hotel, The","Kent Street, Sydney",1854,26 April,0517,NRS 14403 [4/88]; Reel 5065,
GOODWIN,Andrew,Lord Rodney Hotel,"Kent Street, Sydney",1856,15 April,0422,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
GOODWIN,Andrew,"Lord Rodney, The","Kent Street, Sydney",1847,8 November,0673,NRS 14401 [4/81]; Reel 5061,
GOODWIN,Andrew,Lord Rodney,"Kent Street, Sydney",1848,27 June,0426,NRS 14401 [4/83]; Reel 5062,
GOODWIN,Andrew,Lord Rodney Hotel,"Kent Street, Sydney",1856,23 April,0422,NRS 14403 [7/1505]; Reel 1238,
GOODWIN,Andrew,"Lord Rodney Hotel, The","Kent Street, Sydney",1853,28 April,0446,NRS 14403 [4/85]; Reel 5064,
GOODWIN,Edward,Turon Inn,"George Street, Sydney",1856,15 April,1056,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
GOODWIN,Edward,Turon Inn,"George Street, Sydney",1858,27 April,1053,NRS 14403 [7/1511]; Reel 1241,
GOODWIN,Edward,Turon Inn,"George Street, Sydney",1855,27 April,0870,NRS 14403 [7/1503]; Reel 1237,
GOODWIN,Edward,"Turon Inn, The","George Street, Sydney",1854,25 April,0915,NRS 14403 [4/89]; Reel 5066,
GOODWIN,Edward,Turon Inn,"George Street, Sydney",1856,23 April,1056,NRS 14403 [7/1506]; Reel 1238,
GOODWIN,Edward,"Turon Hotel, The","George Street, Sydney",1860,24 April,0920,NRS 14403 [7/1513]; Reel 1242,
GOODWIN,Edward,"Turon Inn, The","George Street, Sydney",1853,28 April,0602,NRS 14403 [4/85]; Reel 5064,
GOOLD,Pierce,Post Office Hotel,"York Street, Sydney",1856,24 April,1254,NRS 14403 [7/1507]; Reel 1239,or GOULD
GOOLD,Pierce,General Post Office Hotel,"York Street, Sydney",1855,26 April,1094,NRS 14403 [7/1503]; Reel 1237,
GOOLD,Pierce,Post Office Hotel,"York Street, Sydney",1856,15 April,1254,NRS 14403 [7/1507]; Reel 1239,or GOULD; on List of Certificates under Sydney
GORDON,David,"Welcome Inn, The","Rocket and Bent Streets, Bathurst",1858,20 April,0393,NRS 14403 [7/1509]; Reel 1240,
GORDON,James,"Plough Inn, The",Armidale,1860,2 May,0120,NRS 14403 [7/1512]; Reel 1241,
GORDON,Jane,"Barraba Inn, The","Barraba, District of Tamworth",1853,12 December,1157,NRS 14403 [4/86]; Reel 5064,
GORDON,Jane Innes,Barraba Inn,"Barraba, District of Tamworth",1856,15 April,0210,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Tamworth
GORDON,Jane Innes,"Barraba Inn, The","Barraba, District of Tamworth",1856,15 April,0210,NRS 14403 [7/1504]; Reel 1237,
GORDON,Jane Innes,"Barraba Inn, The","Baraba, District of Tamworth",1854,18 April,0265,NRS 14403 [4/87]; Reel 5065,
GORDON,John,"Scotch Thistle, The","Blackheath at Evan, Vale of Clwyd",1837,21 July,0412,NRS 14401 [4/68]; Reel 5053,"see Scottish Thistle, 1835"
GORDON,John,Scotch Thistle,"Blackheath at Evan, District of the Vale of Clwyd",1836,23 July,0374,NRS 14401 [4/67]; Reel 5053,"see Scottish Thistle, 1835"
GORDON,John William Hoyles,"Golden Nuggett, The","Hanging Rock, District of Liverpool Plains",1854,21 May,0213,NRS 14403 [4/87]; Reel 5065,
GORDON,Menealy,"Derwent Cottage, The","Sussex Street, Sydney",1837,7 July,0282,NRS 14401 [4/68]; Reel 5053,or Menely
GORDON,Menealy,Derwent Cottage,"Sussex Street, Sydney",1836,8 July,0290,NRS 14401 [4/67]; Reel 5053,or Menely
GORDON,Menely,Derwent Cottage,"Sussex Street, Sydney",1835,3 July,0264,NRS 14401 [4/66]; Reel 5052,or Menealy
GORDON,Robert,"Jolly Sailor, The","George Street, Parramatta",1837,10 July,0314,NRS 14401 [4/68]; Reel 5053,
GORDON,Robert,"Tomago Hotel, The","Tomago, District of Raymond Terrace District",1860,17 April,0731,NRS 14403 [7/1513]; Reel 1242,
GORDON,Samuel,Kangaroo Inn,"George Street, Sydney; George Street and Union Lane, 1836",1836,7 July,0269,NRS 14401 [4/67]; Reel 5053,"see Kangaroo, 1837; Kangeroo Inn, 1838"
GORDON,Samuel,"Kangaroo Inn, The","George Street, Sydney; George Street and Union Lane, 1836",1833,5 July,0222,NRS 14401 [4/64]; Reel 5051,"see Kangaroo, 1837; Kangeroo Inn, 1838"
GORDON,Samuel,"Kangaroo Inn, The","George Street, Sydney; George Street and Union Lane, 1836",1834,7 July,0277,NRS 14401 [4/65]; Reel 5052,"see Kangaroo, 1837; Kangeroo Inn, 1838"
GORDON,Samuel,Kangaroo Inn,"George Street, Sydney; George Street and Union Lane, 1836",1835,1 July,0182,NRS 14401 [4/66]; Reel 5052,"see Kangaroo, 1837; Kangeroo Inn, 1838"
GORHAM,James,Stockmans Inn,"Garradigher, Yass",1840,11 July,0432,NRS 14401 [4/72]; Reel 5056,
GORRICK,Isaac,"Fitzroy Hotel, The","High Street, West Maitland",1854,18 April,0195,NRS 14403 [4/87]; Reel 5065,
GORRICK,Isaac,"Fitzroy Hotel, The","High Street, West Maitland",1853,19 April,0628,NRS 14403 [4/85]; Reel 5064,
GORRICK,Jacob,"Spread Eagle, The","Rutherford, District of Maitland",1848,17 June,0138,NRS 14401 [4/82]; Reel 5062,
GORRICK,John,"Australian Hotel, The","Green Wattle Flat, District of Sofala",1855,24 April,1135,NRS 14403 [7/1503]; Reel 1237,
GORRICK,John,"Australian Inn, The","Wattle Flat, District of Sofala",1858,18 May,1224,NRS 14403 [7/1511]; Reel 1241,
GORRICK,John,"Australian Inn, The","Green Wattle Flat, District of Sofala",1856,22 April,0993,NRS 14403 [7/1506]; Reel 1238,
GORRICK,John,"Manchester Arms, The","George Street, Sydney",1833,9 July,0299,NRS 14401 [4/64]; Reel 5051,
GORRICK,John,"Australian Hotel, The","Mundy Point, Turon River, District of Sofala",1853,3 May,0689,NRS 14403 [4/85]; Reel 5064,
GORRICK,John,"Australian Hotel, The",Sofala,1854,18 April,1101,NRS 14403 [4/89]; Reel 5066,
GORRICK,John,Australian Inn,"Bathurst Road, Green Wattle Flat, District of Sofala",1856,22 April,0993,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sofala
GORTON,Joseph,"Fitzroy Hotel, The","Clarence Town, District of Dungog",1860,25 April,0906,NRS 14403 [7/1513]; Reel 1242,2 pages
GOSPER,James,"Currency Lass, The","Bridge Street, Windsor",1837,28 June,0056,NRS 14401 [4/68]; Reel 5053,
GOSPER,James,Currency Lass,"Bridge Street, Windsor",1836,30 June,0089,NRS 14401 [4/67]; Reel 5053,
GOSPER,John Thomas,"Traveller's Rest, The","Colo, District of Windsor",1854,18 April,0566,NRS 14403 [4/88]; Reel 5065,
GOSPER,John Thomas (Junior),"Traveller's Rest, The","Colo, District of Windsor",1855,17 April,0469,NRS 14403 [7/1502]; Reel 1236,
GOSPER,John Thomas (Junior),"Traveller's Rest, The","Colo, District of Windsor",1853,6 December,1126,NRS 14403 [4/86]; Reel 5064,
GOSPER,Margaret,Currency Lass,"Bridge Street, Windsor",1840,22 June,0247,NRS 14401 [4/72]; Reel 5056,Transferred to John SHEARING
GOSPER,Margaret,"Currency Lass, The","Bridge Street, Windsor",1839,18 June,0172,NRS 14401 [4/70]; Reel 5055,
GOSPER,Margaret,"Currency Lass, The","Bridge Street, Windsor",1838,30 June,0169,NRS 14401 [4/69]; Reel 5054,
GOSPER,William,Crown Inn,"George Street, Sydney",1856,15 April,0649,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
GOSPER,William,Crown Inn,"George Street, Sydney",1856,23 April,0649,NRS 14403 [7/1505]; Reel 1238,
GOUGH,James,"Australian Arms, The","George Street, Windsor",1858,20 April,0942,NRS 14403 [7/1510]; Reel 1240,
GOUGH,John,"Eagle Tavern, The","George Street, Sydney",1854,4 May,0941,NRS 14403 [4/89]; Reel 5066,
GOUGH,John,"Eagle Tavern, The","George Street, Sydney",1853,12 May,0637,NRS 14403 [4/85]; Reel 5064,
GOUGH,John,College Hotel,"Nelson and Campbell Streets, O'Connell Town, District of Sydney",1857,5 March,1430,NRS 14403 [7/1507]; Reel 1239,
GOUGH,John,"College Hall, The","O'Connelltown, District of Sydney",1857,15 May,0458,NRS 14403 [7/1508]; Reel 1239,
GOUGH,John,"College Hotel, The","O'Connell Town, Sydney",1858,4 May,0669,NRS 14403 [7/1510]; Reel 1240,
GOULD,Benjamin,"Victoria Inn, The",Goulburn,1845,27 June,0290,NRS 14401 [4/77]; Reel 5059,
GOULD,Benjamin,Victoria Inn,Old Township of Goulburn,1844,21 June,0130,NRS 14401 [4/76]; Reel 5059,
GOULD,Benjamin,Victoria Inn,Goulburn,1843,23 June,0181,NRS 14401 [4/75]; Reel 5058,
GOULD,Benjamin,Victoria Inn,Goulburn,1846,27 June,0357,NRS 14401 [4/80]; Reel 5060,
GOULD,Benjamin,"Victoria Inn, The",Goulburn (old Township),1847,11 June,0081,NRS 14401 [4/79]; Reel 5061,removed to another house in the Town of Goulburn
GOULD,Benjamin,"Victoria Inn, The",Goulburn,1848,29 June,0583,NRS 14401 [4/83]; Reel 5062,
GOULD,James,Prince of Wales Hotel,"Castlereagh Street, Sydney",1856,15 April,0435,NRS 14403 [7/1507]; Reel 1239,or GOOLD; on List of Certificates under Sydney
GOULD,James,Prince of Wales Hotel,"Castlereagh Street, Sydney",1856,24 April,0435,NRS 14403 [7/1505]; Reel 1238,or GOOLD
GOULDING,Patrick,Doncaster Inn,Braidwood,1846,16 July,0594,NRS 14401 [4/80]; Reel 5060,
GOULDING,Patrick,Doncaster Inn,Braidwood,1841,21 May,0018,NRS 14401 [7/1501]; Reel 1236,
GOULDING,Patrick,Doncaster Inn,Braidwood,1844,23 May,0021,NRS 14401 [4/76]; Reel 5059,
GOULDING,Patrick,"Doncaster Inn, The",Braidwood,1845,27 June,0284,NRS 14401 [4/77]; Reel 5059,
GOULDING,Patrick,Doncaster Inn,Braidwood,1843,3 June,0031,NRS 14401 [4/75]; Reel 5058,
GOULDING,Patrick,"Doncaster Inn, The",Braidwood,1847,18 June,0123,NRS 14401 [4/79]; Reel 5061,
GOULDING,Patrick,"Doncaster Inn, The","Wilson Street, Braidwood",1848,23 June,0255,NRS 14401 [4/82]; Reel 5062,
GOWIN,Patrick,Currency Lad,"King Street, Sydney",1842,29 June,0379,NRS 14401 [4/74]; Reel 5057,or GARVIN
GRACE,Patrick,"Bee Hive, The",Sydney,1838,2 July,0233,NRS 14401 [4/69]; Reel 5054,
GRACE,Patrick,"Bee Hive, The",Sydney,1839,12 June,0112,NRS 14401 [4/70]; Reel 5055,
GRACE,Patrick,"Shamrock and Thistle, The","Parramatta Street, Sydney",1837,30 June,0115,NRS 14401 [4/68]; Reel 5053,
GRADY,John,"Cottage of Content, The","Larbert, District of Braidwood",1853,28 April,0607,NRS 14403 [4/85]; Reel 5064,
GRADY,John,"Oswald Inn, The","Oswald, District of Maitland",1856,15 April,0767,NRS 14403 [7/1505]; Reel 1238,
GRADY,John,"Oswald Inn, The","Oswald, District of Maitland",1858,20 April,0918,NRS 14403 [7/1510]; Reel 1240,
GRADY,John,"Diggers Arms, The","Larbert, District of Braidwood",1854,18 April,0114,NRS 14403 [4/87]; Reel 5065,
GRADY,John,Oswald Inn,"Singleton Road, Oswald, District of Maitland",1856,15 April,0767,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Maitland
GRADY,John,"Oswald Inn, The","Oswald Harpers Hill, District of Maitland",1855,4 September,1179,NRS 14403 [7/1503]; Reel 1237,
GRADY,Martin,"Cottage of Content, The","Larbert, District of Braidwood",1855,17 April,1035,NRS 14403 [7/1503]; Reel 1237,
GRADY,Martin,"Cottage of Content, The","Larbert, District of Braidwood",1856,22 April,0259,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Braidwood
GRADY,Martin,"Cottage of Content, The","Larbert, District of Braidwood",1856,22 April,0259,NRS 14403 [7/1504]; Reel 1237,
GRADY,Martin,"Cottage of Content, The","Larbert, District of Braidwood",1857,21 April,0080,NRS 14403 [7/1508]; Reel 1239,
GRAHAM,Andrew,Harp of Erin,"South Brisbane, Moreton Bay",1847,25 May,0026,NRS 14401 [4/79]; Reel 5061,
GRAHAM,Andrew,Harp of Erin,"South Brisbane, Moreton Bay",1845,9 June,0059,NRS 14401 [4/77]; Reel 5059,
GRAHAM,Andrew,Harp of Erin,"South Brisbane, Moreton Bay",1844,3 June,0043,NRS 14401 [4/76]; Reel 5059,
GRAHAM,Andrew,"Harp of Erin, The",South Brisbane,1848,13 June,0083,NRS 14401 [4/82]; Reel 5062,
GRAHAM,Andrew,Harp of Erin,"Brisbane, Moreton Bay",1843,17 June,0097,NRS 14401 [4/75]; Reel 5058,
GRAHAM,Andrew,Harp of Erin,"South Brisbane, Moreton Bay",1846,29 April,0001,NRS 14401 [4/78]; Reel 5060,
GRAHAM,David,"White Horse Inn, The","Bridge Street, Muscle Brook",1856,28 April,0092,NRS 14403 [7/1504]; Reel 1237,
GRAHAM,David,White Horse Inn,"Bridge Street, Muscle Brook",1856,28 April,0092,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Muscle Brook
GRAHAM,David,"White Horse Inn, The","Bridge Street, Musclebrook",1854,18 April,0155,NRS 14403 [4/87]; Reel 5065,
GRAHAM,David,"White Horse Inn, The",Muscle Brook,1858,20 April,0145,NRS 14403 [7/1509]; Reel 1240,
GRAHAM,David,"White Horse, The","Bridge Street, Muscle Brook",1857,21 April,0353,NRS 14403 [7/1508]; Reel 1239,2 pages
GRAHAM,David,"White Horse Inn, The","Bridge Street, Muswellbrook",1860,1 May,0809,NRS 14403 [7/1513]; Reel 1242,
GRAHAM,George,King George,"Macquarie Street, Liverpool",1845,17 June,0108,NRS 14401 [4/77]; Reel 5059,"King George Inn, 1842"
GRAHAM,George,"King George, The","Macquarie Street, Liverpool",1844,26 June,0229,NRS 14401 [4/76]; Reel 5059,"King George Inn, 1842"
GRAHAM,George,King George,"Macquarie Street, Liverpool",1846,19 June,0156,NRS 14401 [4/78]; Reel 5060,"King George Inn, 1842"
GRAHAM,George,"Wheelwrights Arms, The","Macquarie Street, Liverpool",1833,29 June,0081,NRS 14401 [4/64]; Reel 5051,
GRAHAM,George,"Wheelwrights Arms, The","Macquarie Street, Liverpool",1834,19 June,0002,NRS 14401 [4/65]; Reel 5052,
GRAHAM,George,Wheelwrights Arms,"Macquarie Street, Liverpool",1836,29 June,0053,NRS 14401 [4/67]; Reel 5053,
GRAHAM,George,King George Liverpool,"Macquarie Street, Liverpool",1843,26 June,0209,NRS 14401 [4/75]; Reel 5058,"King George Inn, 1842"
GRAHAM,George,"Wheelwrights Arms, The","Macquarie Street, Liverpool",1837,8 July,0299,NRS 14401 [4/68]; Reel 5053,
GRAHAM,George,Wheelwrights Arms,"Cowpasture Road, Lower Minto",1830,1 July,0147,NRS 14401 [4/61]; Reel 5049,
GRAHAM,George,"Fig Tree Inn, The","Fig Tree, District of Wollongong",1853,19 April,0851,NRS 14403 [4/86]; Reel 5064,
GRAHAM,George,King George,"Macquarie Street, Liverpool",1848,2 June,0032,NRS 14401 [4/82]; Reel 5062,
GRAHAM,George,King George,"Macquarie Street, Liverpool",1847,28 June,0351,NRS 14401 [4/79]; Reel 5061,"King George Inn, 1842"
GRAHAM,George,"Wheelwrights Arms, The","Macquarie Street, Liverpool",1838,25 June,0017,NRS 14401 [4/69]; Reel 5054,
GRAHAM,George,"Wheelwrights Arms, The","Cowpasture Road, Lower Minto",1831,7 July,0199,NRS 14401 [4/62]; Reel 5049,
GRAHAM,George,Wheelwrights Arms,"Macquarie Street, Liverpool",1835,1 July,0219,NRS 14401 [4/66]; Reel 5052,
GRAHAM,George,King George Inn,"McQueen Street, Liverpool",1842,24 June,0248,NRS 14401 [4/74]; Reel 5057,"King George, 1843"
GRAHAM,George,"Fig Tree Hotel, The","Fig Tree Creek, Dapto Road, District of Wollongong",1860,17 April,0820,NRS 14403 [7/1513]; Reel 1242,
GRAHAM,James,Wheelwrights Arms,"Airds, Campbelltown",1840,1 June,0054,NRS 14401 [4/72]; Reel 5056,
GRAHAM,James,Wheelwrights Arms,"Airds, Campbelltown",1843,26 June,0229,NRS 14401 [4/75]; Reel 5058,
GRAHAM,James,Wheelwrights Arms,Campbelltown,1841,28 June,0355,NRS 14401 [7/1501]; Reel 1236,
GRAHAM,James,Wheelwrights Arms,"Airds, Campbelltown",1842,20 June,0173,NRS 14401 [4/74]; Reel 5057,
GRAHAM,James,"Wheelwrights Arms, The","Airds, Campbelltown",1834,19 June,0003,NRS 14401 [4/65]; Reel 5052,
GRAHAM,James,Wheelwrights Arms,"Airds, Campbelltown",1836,30 June,0076,NRS 14401 [4/67]; Reel 5053,
GRAHAM,James,"Wheelwrights Arms, The","Airds, Campbelltown",1837,5 July,0239,NRS 14401 [4/68]; Reel 5053,
GRAHAM,James,"Wheelwrights Arms, The","Airds, Campbelltown",1845,27 June,0316,NRS 14401 [4/77]; Reel 5059,
GRAHAM,James,"Wheelwright's Arms, The","Airds, Campbelltown",1838,2 July,0190,NRS 14401 [4/69]; Reel 5054,
GRAHAM,James,Wheelwrights Arms,"Airds, Campbelltown",1835,1 July,0192,NRS 14401 [4/66]; Reel 5052,
GRAHAM,James,Wheelwrights Arms,"Airds, Campbelltown",1839,14 June,0127,NRS 14401 [4/70]; Reel 5055,
GRAHAM,James,"Wheelwrights Arms, The","Airds, Campbelltown",1846,25 June,0278,NRS 14401 [4/78]; Reel 5060,
GRAHAM,James,"Odd Fellows Retreat, The","Woolloomooloo, Sydney",1860,24 April,1000,NRS 14403 [7/1513]; Reel 1242,
GRAHAM,James,Wheelwrights Arms,"Airds, Campbelltown",1844,27 June,0282,NRS 14401 [4/76]; Reel 5059,
GRAHAM,John,American Hotel,"George Street, Sydney",1856,29 April,1268,NRS 14403 [7/1507]; Reel 1239,
GRAHAM,John,American Hotel,"George Street, Sydney",1856,15 April,1268,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
GRAHAM,John,"Queen's Arms Inn, The","Narellan, District of Camden",1853,19 April,0009,NRS 14403 [4/84]; Reel 5063,
GRAHAM,Mark,"Foresters' Arms, The","the Glebe, District of Sydney",1853,30 April,0658,NRS 14403 [4/85]; Reel 5064,
GRAHAM,Mark,"Foresters Arms, The","The Glebe, District of Sydney",1854,3 May,0421,NRS 14403 [4/88]; Reel 5065,
GRAHAM,Mary,Queen's Arms,"Narellan, District of Camden",1856,2 September,0052,NRS 14403 [7/1507]; Reel 1239,"now licensed to George BAKER; on List of Certificates under Camden (listed twice, on different pages)"
GRAHAM,Mary,"King George Inn, The","Liverpool, District of Parramatta",1854,18 April,0196,NRS 14403 [4/87]; Reel 5065,
GRAHAM,Mary,"Queen's Arms, The",Narellan,1856,2 September,0052,NRS 14403 [7/1504]; Reel 1237,now licensed to George BAKER
GRAHAM,Mary,"King George Inn, The","Macquarie Street, Liverpool, District of Parramatta",1853,19 April,0129,NRS 14403 [4/84]; Reel 5063,widow
GRAHAM,Mary,"Queens Arms, The","Narellan, District of Camden",1854,18 April,0274,NRS 14403 [4/87]; Reel 5065,
GRAHAM,Richard,Labour in Vain,"Sussex Street, Sydney",1845,24 June,0181,NRS 14401 [4/77]; Reel 5059,
GRAHAM,Richard,Labour in Vain,"Sussex Street, Sydney",1844,26 June,0210,NRS 14401 [4/76]; Reel 5059,
GRAHAM,Richard,Labor in Vain,"Sussex Street, Sydney",1846,22 June,0183,NRS 14401 [4/78]; Reel 5060,or Labour in Vain
GRAHAM,Richard,Labor in Vain,"Sussex Street, Sydney",1848,28 June,0482,NRS 14401 [4/83]; Reel 5062,
GRAHAM,Richard,Labour in Vain,"Sussex Street, Sydney",1843,23 June,0172,NRS 14401 [4/75]; Reel 5058,
GRAHAM,Richard,Labour in Vain,"Sussex Street, Sydney",1847,12 June,0086,NRS 14401 [4/79]; Reel 5061,
GRAHAM,Thomas,Queen Victoria,"Paterson Road, Hinton, District of Maitland",1856,15 April,0854,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Maitland
GRAHAM,Thomas,"Queen Victoria, The","Hinton, District of Maitland",1858,20 April,0428,NRS 14403 [7/1509]; Reel 1240,2 pages; removal of license
GRAHAM,Thomas,"Victoria Hotel, The","Hinton, District of Maitland",1855,1 May,0616,NRS 14403 [7/1502]; Reel 1236,
GRAHAM,Thomas,"Queen Victoria, The","Hinton, District of Maitland",1856,15 April,0854,NRS 14403 [7/1506]; Reel 1238,
GRAHAM,William,"Balranald Inn, The","Balranald, District of Lower Darling",1853,12 May,0012,NRS 14403 [4/84]; Reel 5063,
GRAHAM,William,"Balranald Inn, The","Balranald, District of Lower Darling",1854,29 April,0033,NRS 14403 [4/87]; Reel 5065,
GRAHAM,William,"Micilago Inn, The","Micilago, District of Queanbeyan",1848,7 November,0743,NRS 14401 [4/83]; Reel 5062,
GRAHAM,William,"Balranald Inn, The","Ballandella Street, Balranald",1856,23 April,0044,NRS 14403 [7/1504]; Reel 1237,
GRAHAM,William,"Balranald Inn, The",Balranald,1855,14 June,1167,NRS 14403 [7/1503]; Reel 1237,
GRAHAM,William,"Crown and Anchor, The","Morpeth, District of Maitland",1848,21 June,0197,NRS 14401 [4/82]; Reel 5062,
GRAHAM,William,"Crown and Anchor, The","Morpeth, West Maitland",1847,23 June,0184,NRS 14401 [4/79]; Reel 5061,
GRAHAM,William,Balranald Inn,"Ballandella Street, Balranald",1856,23 April,0044,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Balranald
GRANGER,William,"Star Inn, The","Box Hill, Windsor",1846,3 July,0568,NRS 14401 [4/80]; Reel 5060,
GRANT,James,"White Horse Inn, The",Carcoar,1860,17 April,0174,NRS 14403 [7/1512]; Reel 1241,
GRANT,Lewis,Thatched Cottage,"Breadalbane Plains, Goulburn",1843,10 June,0059,NRS 14401 [4/75]; Reel 5058,
GRANT,Peter,"Gordon Arms, The","Lochinvar, District of Maitland",1853,19 April,0327,NRS 14403 [4/84]; Reel 5063,
GRANT,Peter,Gordon Arms,"Lochinvar, Maitland",1846,18 June,0125,NRS 14401 [4/78]; Reel 5060,
GRANT,Peter,Gordon Arms,"Lochinvar, Maitland",1845,18 June,0118,NRS 14401 [4/77]; Reel 5059,
GRANT,Peter,"Gordon Arms, The","Lochinvar, Maitland",1844,28 June,0343,NRS 14401 [4/76]; Reel 5059,"with GRANT, Peter"
GRANT,Thomas,Imperial Hotel,"William and Forbes Streets, Sydney",1856,15 April,0589,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
GRANT,Thomas,"Imperial Hotel, The","William and Forbes Streets, Sydney",1856,24 April,0589,NRS 14403 [7/1505]; Reel 1238,
GRAVES,James,Black Swan,"Durham Street, Bathurst",1856,15 April,0686,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Bathurst
GRAVES,James,"Black Swan Inn, The","Durham Street, Bathurst",1858,20 April,0181,NRS 14403 [7/1509]; Reel 1240,
GRAVES,James,"Black Swan Inn, The","Durham Street, Bathurst",1856,15 April,0686,NRS 14403 [7/1505]; Reel 1238,
GRAVES,James,"Black Swan, The","Durham Street, Bathurst",1853,6 September,1066,NRS 14403 [4/86]; Reel 5064,
GRAVES,James,"Black Swan, The","Durham Street, Bathurst",1854,18 April,0293,NRS 14403 [4/87]; Reel 5065,
GRAVES,Thomas,"William The Fourth, The","Bridge Street, Windsor",1833,5 July,0227,NRS 14401 [4/64]; Reel 5051,or GREAVES
GRAY,Alexander,Light House,"Sussex Street, Sydney; Bathurst Street",1842,24 June,0255,NRS 14401 [4/74]; Reel 5057,"or GREY; see Lighthouse Hotel, 1843-"
GRAY,Alexander,Light House,"Sussex Street, Sydney; Bathurst Street",1835,30 June,0134,NRS 14401 [4/66]; Reel 5052,"or GREY; see Lighthouse Hotel, 1843-"
GRAY,Alexander,Light House,"Sussex Street, Sydney; Bathurst Street",1836,6 July,0246,NRS 14401 [4/67]; Reel 5053,"or GREY; see Lighthouse Hotel, 1843-"
GRAY,Alexander,Lighthouse Hotel,"Sussex and Bathurst Streets, Sydney",1846,29 June,0446,NRS 14401 [4/80]; Reel 5060,
GRAY,Alexander,"Lighthouse Hotel, The","Sussex and Bathurst Streets, Sydney",1845,27 June,0301,NRS 14401 [4/77]; Reel 5059,"or GREY; see Light House, 1835-42"
