,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,Newcastle,Asylum for Imbeciles,"1873, 1879, 1880",-,-,4332 [2/8165],"(In Newcastle, Clerk of Works, Correspondence)","Appendix A: Correspondence, c.1837-96",
,Newcastle,"Asylum for Imbeciles, alteration and repairs",1871,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Breakwater,1847-56,-,-,"4332 [2/613A (Pt 1, Bundle 2)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Court House (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X693],-,"Appendix C: Designs of public buildings, 1837",
,Newcastle,Breakwater,1855-63,-,-,"4332 [2/613B (Pt II, Bundle 1)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Clerk of Works,1848-55,-,-,"4332 [2/613B (Pt I, Bundle 3)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,"Clerk of Works, Correspondence to M.W. Lewis re repairs, contracts, receipts etc.",1873-1891,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,"Clerk of Works, Monthly reports",1859-64,-,-,"4332 [2/613D (Pt III, Bundle 2)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Court House,1847-65,-,-,"4332 [2/613C (Pt II, Bundle 3)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Customs House,1864,-,-,"4332 [2/613C (Pt II, Bundle 4)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Gaol,1847-54,-,-,"4332 [2/613A (Pt I, Bundle 1)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Harbour Master’s Residence,1858-66,-,-,"4332 [2/613B (Pt II, Bundle 1)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Iron Bark Bridge,1852-60,-,-,"4332 [2/613C (Pt II, Bundle 2)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,"Lake Macquarie Road (Darby Street, Newcastle) Watch House",1860-61,-,-,4332 [2/600],-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Life Boat Shed,1855-65,-,-,"4332 [2/614 (Pt III, Bundle 3)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Military Barracks,1852-58,-,-,"4332 [2/613A (Pt I, Bundle 1)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,"Military Barracks, painting of",n.d.,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,"Miscellaneous, Salary, Weekly Reports, Accounts etc.",1855-58,-,-,"4332 [2/613B (Pt I, Bundle 3)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,New Police Station,1855-65,-,-,"4332 [2/613B (Pt II, Bundle 1)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Obelisk,1855-58,-,-,"4332 [2/613C (Pt II, Bundle 4)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Obelisks,1855-58,-,-,4332 [2/613C],-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Old Windmill,1848-49,-,-,"4332 [2/613C (Pt II, Bundle 2)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Gaol (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Newcastle,Pilots House,1859-63,-,-,"4332 [2/614 (Pt III, Bundle 3)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Police Office (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Newcastle,Police Barracks,1854-66,-,-,"4332 [2/613D (Pt III, Bundle 2)]",-,"Appendix A: Correspondence, c.1837-96",
,Newcastle,Post and Telegraph Station,1860,-,-,4332 [2/604A],-,"Appendix A: Correspondence, c.1837-96",
,Newcastle South,Teacher’s Residence,1876,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,"Newcastle, West",Post Office,-,-,68,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,"Newcastle, West",Customs House,-,-,100,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Newington,State Hospital and Home for women,-,-,121,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Newtown,Court House. Basement plan,1882,-,-,4335 [Plan 2011 (formerly X904)],Colonial Architect Plan No. PC388/6,"Appendix B: Architectural Plans, 1848-1967",
,Newtown,Court House. Ground plan,1882,-,-,4335 [Plan 2012],Colonial Architect Plan No. PC388/7,"Appendix B: Architectural Plans, 1848-1967",
,Newtown,Watch House,1854-55,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,Newtown,Court House. Roof plan,1882,-,-,4335 [Plan 2013],Colonial Architect Plan No. PC388/8,"Appendix B: Architectural Plans, 1848-1967",
,Newtown,Court House. Elevation to Australia Street,1882,-,-,4335 [Plan 2014],Colonial Architect Plan No. PC388/9,"Appendix B: Architectural Plans, 1848-1967",
,Newtown,Court House. Elevation to Eliza Street,1882,-,-,4335 [Plan 2015],Colonial Architect Plan No. PC388/10,"Appendix B: Architectural Plans, 1848-1967",
,Newtown,Court House. South East elevation,1882,-,-,4335 [Plan 2016],Colonial Architect Plan No. PC388/11,"Appendix B: Architectural Plans, 1848-1967",
,Newtown,Court House. Section AB,1882,-,-,4335 [Plan 2017],Colonial Architect Plan No. PC388/12,"Appendix B: Architectural Plans, 1848-1967",
,Newtown,Court House. Section CD,1882,-,-,4335 [Plan 2018],Colonial Architect Plan No. PC388/13,"Appendix B: Architectural Plans, 1848-1967",
,Nimmitabel,Court House,1860-65,-,-,4332 [2/614],-,"Appendix A: Correspondence, c.1837-96",
,Nimmitabel,Watch House,1861-62,-,-,4332 [2/614],-,"Appendix A: Correspondence, c.1837-96",
,Nimmitabel,Proposed Soldiers’ Memorial,1920,-,4,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,North Head,Quarantine Station,1848-66,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,North Richmond,Improvements to Public School and Teacher’s Residence,1879,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,North Shore,North Shore Roads,1870-71,-,-,4332 [2/615],-,"Appendix A: Correspondence, c.1837-96",
,North Shore,Watch House,1853-55,-,-,4332 [2/614],-,"Appendix A: Correspondence, c.1837-96",
,North Sydney,"Soldiers’ Memorial, competitive design",1923,-,82,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,North Sydney,Post Office,-,-,87,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,North Sydney,Police Station and Court House,-,-,95,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Nowra,Court and Watch House,1860-66,-,-,4332 [2/615],-,"Appendix A: Correspondence, c.1837-96",
,Nullah Nullah,Barracks,1859-62,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,Nundle,Court and Watch House,1860-66,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,Nundle,Gold Commissioner’s Quarters,1858-62,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,Nundle,Police Office,1855-57,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,Nuria,Court House and Lock-up,1841,-,-,4332 [2/614],-,"Appendix A: Correspondence, c.1837-96",
,Nyngan,"Court House. Plans, elevations and sections",1901,-,-,4335 [Plan 825],Colonial Architect Plan No. PC397/01. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Nyngan,Court House,-,-,78,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Nyngan,Post and Telegraph Office,-,-,78,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Oberon,"Court and Watch House. Proposed plan, elevations and section",-,-,-,4335 [Plan 826],Colonial Architect Plan No. PC400/01,"Appendix B: Architectural Plans, 1848-1967",
,Orange,"Court House. Iron gates, railings etc.",1883,-,-,4335 [Plan 828],Colonial Architect Plan No. PC401/02. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Orange,"Court House. Proposed horse shed plan, elevations and sections",-,-,-,4335 [Plan 831],Colonial Architect Plan No. PC401/05,"Appendix B: Architectural Plans, 1848-1967",
,Orange,"Court House. Plans, elevations and sections",1881,-,-,4335 [Plan 833],Colonial Architect Plan No. PC401/07,"Appendix B: Architectural Plans, 1848-1967",
,Orange,"Court House. Plan of details.  Elevations and sections of colonnade, jury seats, dock, clerk’s desk etc.",-,-,-,4335 [Plan 834],Colonial Architect Plan No. PC401/08,"Appendix B: Architectural Plans, 1848-1967",
,Orange,Court and Watch House,"1853-55, 1860-66",-,-,4332 [2/617],-,"Appendix A: Correspondence, c.1837-96",
,Orange,Court House,-,-,31,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Orange,"District Girls’ School. Plan, elevations and section",1911,-,-,4335 [Plan 1046],Colonial Architect Plan No. SB1167/10,"Appendix B: Architectural Plans, 1848-1967",
,Orange,Gaol (Lock-up),1863-66,-,-,4332 [2/617],-,"Appendix A: Correspondence, c.1837-96",
,Orange,Post Office and Works Office,-,-,31,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Orange,Lock-up. Plan and elevations showing proposed additions,-,-,-,4335 [Plan 829],Colonial Architect Plan No. PC401/03,"Appendix B: Architectural Plans, 1848-1967",
,Orange,Police Office,1857-66,-,-,4332 [2/617],-,"Appendix A: Correspondence, c.1837-96",
,Orange,Post Office,-,-,85,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Orange,Police Buildings. Site plan of police buildings,-,-,-,4335 [Plan 827],Colonial Architect Plan No. PC401/01,"Appendix B: Architectural Plans, 1848-1967",
,Orange,Telegraph and Post Office,1862-65,-,-,4332 [2/617],-,"Appendix A: Correspondence, c.1837-96",
,Orange,"Police Buildings. Plan, elevations and section of police station, showing proposed additions",-,-,-,4335 [Plan 830],Colonial Architect Plan No. PC401/04,"Appendix B: Architectural Plans, 1848-1967",
,Orange,"Police Buildings. Proposed alterations.  Plan, elevations and section",1878,-,-,4335 [Plan 832],Colonial Architect Plan No. PC401/06,"Appendix B: Architectural Plans, 1848-1967",
,Paddington,Improvements to Public School,1870,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Paddington,Additions to Public School,1876,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Paddington,Proposed Soldiers’ Memorial,c.1921,-,"4, 41",18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Paddington,Presbyterian Church,1857-58,-,-,4332 [2/644],-,"Appendix A: Correspondence, c.1837-96",
,Paddy’s River,Bridge,1853-55,-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Pambula,Court House,"1859-61, 1864",-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Pambula,Lock-up,1857-64,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Parkes,Court House,-,-,"31, 222",4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parkes,Police Buildings,-,-,31,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parkes,Police Station,-,-,33,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parkes,Court House. Detail of tablet giving elevation and section,-,-,-,4335 [Plan 835],Colonial Architect Plan No. PC406/01,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,Post Office,-,-,19,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parkes,"Court House. Proposed addition:  plan, elevations and section",1891,-,-,4335 [Plan 836],Colonial Architect Plan No. PC406/02. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,"Court House. Proposed stable and buggy shed, plan, elevation, section and details",1882,-,-,4335 [Plan 838],Colonial Architect Plan No. PC406/04,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,Court House. Additions forming part of complete scheme.  Plans and elevations,1896,-,-,4335 [Plan 840],Colonial Architect Plan No. PC406/06. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,"Court House. Additions forming part of complete scheme.  Plans, elevations and sections",1895,-,-,4335 [Plan 841],Colonial Architect Plan No. PC406/07. Signature of architect (L. Robertson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,"Court House. Court room fittings.  Plans, elevations and sections",1896,-,-,4335 [Plan 842],Colonial Architect Plan No. PC406/08. Signature of architect (L. Robertson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,"Police Quarters. Plans, elevations and sections",1883,-,-,4335 [Plan 839],Colonial Architect Plan No. PC406/05,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,"Police Quarters. Plan, elevations and sections of proposed additions",1885,-,-,4335 [Plan 837],Colonial Architect Plan No. PC406/03,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,Public School. Elevation and sections of proposed additions,1894,-,-,4335 [Plan 1047],Colonial Architect Plan No. SB1190/36,"Appendix B: Architectural Plans, 1848-1967",
,Parkes,"Public School. Infants Department.  Plan, section and elevations",1884,-,-,4335 [Plan 1048],Colonial Architect Plan No. SB1190/37,"Appendix B: Architectural Plans, 1848-1967",
,Parramatta,"School of Industry. Plans, elevation and section",1855,-,-,4335 [Plan 1967],Colonial Architect Plan No. 20/2 No. 126,"Appendix B: Architectural Plans, 1848-1967",
,Parramatta,Government House. Inventory of furniture,1 July 1846,-,-,"4332 [2/8164, pp.331-421]",-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Gaol (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Parramatta,Government House. Inventory of furniture,23 February 1855,-,-,"4332 [2/8164, pp.89-105]",-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Government House. Inventory of furniture,23 February 1855,-,-,"4332 [2/8164, pp.215-253]",-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Government House. Inventory of furniture,23 February 1855,-,-,"4332 [2/8164, pp.107-111]",(extract only),"Appendix A: Correspondence, c.1837-96",
,Parramatta,Government House. Inventory of furniture,29 November 1837,-,-,"4332 [2/8164, pp.423-427]",-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Invalid Depot,1864-65,-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Lunatic and Invalid School,"1850, 1853, 1856-57",-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Lunatic Asylum,1856-66,-,-,4332 [2/618C],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Patrol Stables,"1851, 1853, 1857",-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Police Office,1840-52,-,-,4332 [2/618B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Police Office,1846,-,-,4332 [2/618B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Police Quarters,1861-62,-,-,4332 [2/618B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Post Office,"1863, 1865",-,-,4332 [2/618B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Protestant Orphan School,1844-66,-,-,4332 [2/643A],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Roman Catholic Orphan School,"1847-48, 1855-56, 1859-63",-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Toll House (Pitt Row),1860-61,-,-,4332 [2/618B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Additions to Teacher’s Residence,1877,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Parramatta,Soldiers’ Memorial,c.1922,-,"69, 74",18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Parramatta,"Protestant Orphan School. Proposed additions, and later additions to the building when it became the Rydalmere Asylum or Hospital for the Insane.  There are 10 plans each bearing the Colonial Architect’s stamp or registration number or plan number.",1897,-,-,4335 [Plans 2359-2368],Mitchell Library No. XVIB PARR HOS H INS 1-10,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Parramatta,Police Office (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X693],-,"Appendix C: Designs of public buildings, 1837",
,Parramatta,Central Domestic Science School,-,-,180(a)-180,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parramatta,Benevolent Asylum,1861-65,-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Court House,-,-,3,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parramatta,Cemetery,1860-65,-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,"Old Men’s Home, George Street view",-,-,123,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parramatta,Court House,1857-66,-,-,4332 [2/618B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,"Old Men’s Home, Macquarie Street view",-,-,123,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Parramatta,Dam,"1852-57, 1861",-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Gaol,1837-56,-,-,4332 [2/618A],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Gaol,1857-63,-,-,4332 [2/618A],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Gaol,1859-66,-,-,4332 [2/618B],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,"Lunatic Asylum. Proposed temporary addition 78/728, plan of centre block and first wings",-,-,-,4335 [Plan 2180],Colonial Architect Plan No. MH9/10,"Appendix B: Architectural Plans, 1848-1967",
,Parramatta,Government House. Government House and Domain,"1837, 1846-48, 1851-57, 1864",-,-,4332 [2/8164],-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,"Old Government House. Alterations, additions and restorations.  Ground floor plan, first floor plan, Sheet No.1 officers’ quarters, drainage plan",May 1909,-,-,4335 [Plan 1964],Colonial Architect Plan No. 1498/09. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Parramatta,Government House. Inventory of furniture,1 December 1837,-,-,"4332 [2/8164, pp.345-359]",-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,"Old Government House. Alterations, additions and restorations.  Elevations and section, Sheet No.3",May 1909,-,-,4335 [Plan 1965],Colonial Architect Plan No. 1514/09. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Parramatta,Government House. Inventory of furniture,29 November 1837,-,-,"4332 [2/8164, pp.427-428]",-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,"School of Industry. Plans, elevation and section",1855,-,-,4335 [Plan 1966],Colonial Architect Plan No. 20/1 No. 126,"Appendix B: Architectural Plans, 1848-1967",
,Parramatta,Government House. Inventory of furniture,1 July 1846,-,-,"4332 [2/8164, pp.35-43 (duplicate pp.77-87)]",-,"Appendix A: Correspondence, c.1837-96",
,Parramatta,Court House (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,"Parramatta, South",Playsheds,1878,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Paterson,Court and Watch House,1857-66,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Paterson,Police Office,1856-60,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Peakhurst,Public School and Teacher’s Residence,1876,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Pennant Hills,Public School and Teacher’s Residence,1871,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Penrith,"Court House. Plans, elevations and sections",1878,-,-,4335 [Plan 843],Colonial Architect Plan No. PC411/1,"Appendix B: Architectural Plans, 1848-1967",
,Penrith,Court House (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Penrith,"Court House. Stable, Dwarf Wall iron railing and site plan",1881,-,-,4335 [Plan 844],Colonial Architect Plan No. PC411/12,"Appendix B: Architectural Plans, 1848-1967",
,Penrith,Court and Watch House,1862-63,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Penrith,Nepean Bridge,1856-57,-,-,4332 [2/644],-,"Appendix A: Correspondence, c.1837-96",
,Penrith,Police Office,1851-55,-,-,4332 [2/617],-,"Appendix A: Correspondence, c.1837-96",
,Penrith,Public School,1878,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Penrith,Watch and Court House,1850-66,-,-,4332 [2/617],-,"Appendix A: Correspondence, c.1837-96",
,Penrith,Infants’ School,1878,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Penrith,War Memorial Bandstand,1920,-,20,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Phillip Street,Police Headquarters,-,-,-,-,"see Sydney, Police Headquarters","Appendix B: Architectural Plans, 1848-1967",
,Picton,Court and Watch House,1862-66,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Picton,Police Station and Lock-up,"1857, 1860-64",-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Picton,Watch House,"1846-48, 1851-54",-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Pillaga,Court House,-,-,60,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Pillaga,Post and Telegraph Office,-,-,60,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Pinnacle,"Police Stations, Toogong, Pinnacle, Jugiong, Eugowra",1862-66,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,Pitt Row,Toll House,-,-,-,4332 [2/648],-,"Appendix A: Correspondence, c.1837-96",
,Pitt Town,School and Teacher’s Residence,1876,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Plattsburg,Infants’ School,1877,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Point Piper,Road to South Head and Resumption of Point Piper Estate,1848,-,-,4332 [2/636],-,"Appendix A: Correspondence, c.1837-96",
,"Port Curtis, Queensland","Lock-up, Customs House (Fitzroy River & Rockhampton) etc.",1858-59,-,-,4332 [2/617],"Also Gladstone, Queensland","Appendix A: Correspondence, c.1837-96",
,"Port Curtis, Queensland",Water Works,1850-57,-,-,4332 [2/630A],"Also Gladstone, Queensland","Appendix A: Correspondence, c.1837-96",
,Port Jackson,Garden Island. Tombs and vaults,1864,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,Port Jackson,Glebe Island. Abattoirs,1850-55,-,-,4332 [2/597B],-,"Appendix A: Correspondence, c.1837-96",
,Port Jackson,Glebe Island. Abattoirs,1852-66,-,-,4332 [2/597A],-,"Appendix A: Correspondence, c.1837-96",
,Port Jackson,Glebe Island. Glebe Wharf,1859,-,-,4332 [2/579],-,"Appendix A: Correspondence, c.1837-96",
,Port Jackson,Goat Island. Powder Magazine,1854,-,-,4332 [2/597A],-,"Appendix A: Correspondence, c.1837-96",
,Port Jackson,Goat Island. Powder Magazine,"1848, 1851-56",-,-,4332 [2/642B],-,"Appendix A: Correspondence, c.1837-96",
,Port Jackson,Goat Island. Water Police Station,1850-51,-,-,4332 [2/645],-,"Appendix A: Correspondence, c.1837-96",
,Port Jackson,-,-,-,-,-,"see Sydney, Port Jackson","Appendix B: Architectural Plans, 1848-1967",
,Port Jackson,-,-,-,-,-,"see Cockatoo Island; Garden Island; Glebe Island; Goat Island, South Head","Appendix A: Correspondence, c.1837-96",
,Port Macquarie,"Gaol. Port Macquarie Gaol:  Tracing from general plan of gaol, Port Macquarie, showing the position of the proposed Dispensary Room, also section and elevation",5 March 1866,-,-,4335 [Plan 2019 (formerly X843)],"Colonial Architect Plan No. Signature of architect (E. Hew, foreman) appears on the plan","Appendix B: Architectural Plans, 1848-1967",
,Port Macquarie,"Gaol. Plan of the space between the front and check gates and two rooms at the Gaol, showing the proposed new windows to guard room and Principal Warder’s Room and a section showing the proposed new room for the Principal Warder, 4 February 1866 (This p",-,-,-,4335 [Plan 2020 (formerly X843)],"Colonial Architect Plan No. Signature of architect (E. Hew, foreman) appears on the plan","Appendix B: Architectural Plans, 1848-1967",
,Port Macquarie,"Police Buildings. Plans, elevations and sections",-,-,-,4335 [Plan 845],Colonial Architect Plan No. PC418/7,"Appendix B: Architectural Plans, 1848-1967",
,Port Macquarie,Proposed Trachyte Soldiers’ Memorial,c.1921,-,14,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Port Macquarie,"Soldiers’ Memorial, photograph",-,-,65,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Port Macquarie,Court and Watch House,"1861, 1863, 1864",-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Court House,1865,-,-,4332 [2/8153],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Gaol,1848,-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Gaol,1865-66,-,-,4332 [2/8153],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,"Gaol, plans",5 March 1866 and 14 February 1866,-,-,4332 [X843],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Police Magistrate’s Residence,1858-63,-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Government Cottage,1865-66,-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Hospital,1865-66,-,-,4332 [2/8153],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Court House and Police Station,-,-,77,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Port Macquarie,Police Office,"1853-59, 1862, 1865",-,-,4332 [2/643B],-,"Appendix A: Correspondence, c.1837-96",
,Port Macquarie,Police Station,-,-,77,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Port Macquarie,Post and Telegraph Office,-,-,77,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Pott’s Point,House at Pott’s Point (Residence of Major-General Commanding),"1853, 1857",-,-,4332 [2/579],-,"Appendix A: Correspondence, c.1837-96",
,Prospect,Public School and Teacher’s Residence,1871,-,-,4338 [X16],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Pulpit Hill,Police Station,1862-63,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Pulpit Hill,Watch House,1861-62,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,Court and Watch House,1859-65,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,Police Station,"1858-60, 1866",-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,Post and Telegraph Office,1863,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,"Court House and Watch House. Proposed additions and alterations.  Plans, sections and details",1880,-,-,4335 [Plan 846],Colonial Architect Plan No. PC425/16,"Appendix B: Architectural Plans, 1848-1967",
