Date,Surname,FirstName,Station,Description,Citation,Remarks
January 1844,Highwood,Robert,Grange,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 5",Superintendent:  Blacksmith.
1842,Hill,,Murton Creek,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 7",Superintendent:  Hill.
1842,Hill,,,Frederick Armand Powlett Commissioner of Crown Lands Western Port Counties Bourke Called Western Port,"NRS 906 [X817]; Reel 2748-2749, Page 62",Superintendent:  Hill.
1846,Hill,D & F,Cook & Plaid,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 9",Superintendent: D & F Hill.
1847,Hill,G,Yanco,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 53",Superintendent: J Hughes.
1839,Hill,H,Conningalla,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 33",Superintendent: H Hill.
1841,Hill,H,Cerringala,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 42",Superintendent: T Hill.
1844,Hill,Henry,Corrungale,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 69",Superintendent: H Hill.
1844,Hill,Henry,Corrungale,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 78",Superintendent: Henry Hill.
1844,Hill,Henry,Turrungala,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 90",Superintendent: Henry Hill.
1847,Hill,Henry,Corrungala,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 104",Superintendent: Henry Hill.
1844,Hill,T,Gobong,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 65",Superintendent: J Belcher.
1845,Hill & Crichton,,Round Hills,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 43",Superintendent: John & Robert Crichton.
1842,Hillas,,Myall Creek,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 20",Superintendent:  Challacom.
1844,Hillas,G,Murray,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 24",Superintendent: J Monks.
1847,Hillas,G,Mulerooly,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 49",Superintendent: G Hillas.
1847,Hillas,G,Burranga,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 49",Superintendent: C Hudson.
1842,Hillas,J,Myrtle Creek,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 24",Superintendent:  Challacombe.
August & September 1843,Hillas,J,Yab Tree,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 23",Superintendent:  Southcombe.
August & September 1843,Hillas,J,Yab Tree,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 20",Superintendent: J Hillas.
1842,Hillas,Jno,Myrtle Creek,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 14",Superintendent: William Challenby.
1847,Hinchcliffe,J,Nulla Nulla Creek,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 104",Superintendent: A Spark.
July - Dec 1844,Hindmarsh,,Travellers Rest,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 32",Superintendent:  Hindmarsh.
August & September 1843,Hindmarsh,J S,Seven Mile Creek,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 23",Superintendent: J S Hindmarsh.
10 July 1839,Hindmarsh,James Scott,Seven Mile Creek,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 9",Superintendent: James McMahon.
Jan - Jun 1844,Hindmarsh,W,Travellers Rest,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 29",Superintendent:  Proprietor.
Jul - Dec 1845,Hindmarsh,W,Travellers Rest,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 39",Superintendent:  Proprietor.
Jul - Dec 1845,Hindmarsh,W,Travellers Rest,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 39",Superintendent:  Nil.
Jul - Dec 1845,Hindmarsh,W,Travellers Rest,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 40",Superintendent: W Hindmarsh.
Jan - Jun 1844,Hindmarsh,W,Travellers Rest,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 30",Superintendent:  Proprietor.
1845,Hindmarsh,W,Travellers Rest,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 35",Superintendent:  Proprietor.
1845,Hinton,Colin,Echersley,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 48",Superintendent: Colin Hinton.
1844,Hiscock,Thos,Burringong,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 37",Superintendent:  Blacksmith.
January 1844,Hiscock,Thos,Burringong,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 5",Superintendent:  Blacksmith.
1844,Hitchcock,G,Toomooroo,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 90",Superintendent: G Hitchcock.
1847,Hitchcock,G,Punderang,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 104",Superintendent: J Shuttlebotham.
1847,Hitchcock,G,Toorookoo,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 104",Superintendent: H Hill.
1844,Hitchcock,G,Punderang,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 92",Superintendent: James Shuttlebotham.
1841,Hitchcock,Geo,Toorooke,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 42",Superintendent: Geo Lewis.
1839,Hitchcock,Geo,Yorooboo,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 31",Superintendent: Geo Hitchcock.
1839,Hitchcock,Geo,Toorooke,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 33",Superintendent: William Lewis.
1847,Hobler,G,Nap Nap,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 52",Superintendent: G Hobler.
1844,Hobson,D,Traralgon,Charles James Tyers Gips Land and Port Phillip,"NRS 906 [X818]; Reel 2748-2749, Page 40",Superintendent: D Hobson.
January 1845,Hobson,E,Traralgon,Charles J Tyers District of Gipps Land,"NRS 906 [X818]; Reel 2748-2749, Page 44",Superintendent: E Hobson.
January 1845,Hobson,E,Traralgon,Charles J Tyers District of Gipps Land,"NRS 906 [X818]; Reel 2748-2749, Page 50",Superintendent: E Hobson.
1844,Hobson,E,Traralgon,Charles J Tyers District of Gips Land,"NRS 906 [X818]; Reel 2748-2749, Page 36",Superintendent: E Hobson.
1842,Hodgkinson,,,Frederick Armand Powlett Commissioner of Crown Lands Western Port Counties Bourke Called Western Port,"NRS 906 [X817]; Reel 2748-2749, Page 62",Superintendent:  Hodgkinson.
1 July 1842,Hodgkinson,J & H,Maiden Hills,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 19",Superintendent: J & H Hodgkinson.
1 July 1842,Hodgkinson,Jas,Hodgkinson Creek,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 20",Superintendent: Jas Hodgkinson.
1 July 1842,Hodgkinson,Jas,Hodgkinson Creek,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 19",Superintendent: Jas Hodgkinson.
January 1844,Hodgkinson,John,Dowling Forest,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 5",Superintendent:  Eating House.
1842,Hodgkinson,Snr,,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 14",Superintendent: Jnr Hodgkinson.
1840,Hodgson,A,Cashiobury,George James McDonald Brisbane 1 Jan - 6 May 1840,"NRS 906 [X816]; Reel 2748-2749, Page 11",Superintendent: W Rogers.
1844,Hodgson & Elliott,,Eton Vale,Christoper Rolleston county of Stanley called Darling Downs,"NRS 906 [X817]; Reel 2748-2749, Page 87",Superintendent:  Hodgson & Elliott.
1843,Hodgson & Elliott,,Glenvale,Christopher Robertson County of Stanley,"NRS 906 [X817]; Reel 2748-2749, Page 81",Superintendent:  Selers.
1844,Hodgson & Elliott,,Eton Vale,Christoper Rolleston county of Stanley called Darling Downs,"NRS 906 [X817]; Reel 2748-2749, Page 83",Superintendent: J Stevens.
1841,Hodgson & Elliott,,Eton Plains,George James McDonald Brisbane 1 Jan - 6 May 1840,"NRS 906 [X816]; Reel 2748-2749, Page 32",Superintendent:  Proprietors.
1845,Hogg,E J,Colran,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 42",Superintendent: E J Hogg.
1847,Hogg,E J,Thiele Cobram,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 50",Superintendent: W Shields.
1845,Holland,Richard,Mowenbah,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 28",Superintendent: Richard Holland.
1847,Holland,William,Mowenbah,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 54",Superintendent: Richard Holland.
1848,Holland,William,Mowenbah,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 82",Superintendent: Andrew Freebody.
1847,Holland,William,Mowenbah,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 69",Superintendent: Andrew Freebody.
1842,Holland & Burney,,Seven Creek,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 21",Superintendent:  Atkins.
1847,Holmes,B,Iattaila,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 49",Superintendent: B Holmes.
January 1844,Holt,Matthew,Stoney Point,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 5",Superintendent: Matthew Holt.
August & September 1843,Honey,,Oppesson,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 21",Superintendent:  Honey.
1843,Hood,G & A,Eurimbola,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 59",Superintendent: A Hood.
1845,Hood,T,Eurimbola,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 71",Superintendent: A Hood.
1844,Hood,T & A,Reads,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 67",Superintendent: A Hood.
1844,Hood,T & A,Eurimbla,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 67",Superintendent: A Hood.
1843,Hood,T & A,Errimbolane,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 53",Superintendent: A Hood.
1844,Hood,T & A,Eurimbola,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 63",Superintendent: A Hood.
1846 December,Hood,T A,Boree Cohorne,Bathurst & Wellington W C Mayne,"NRS 906 [X817]; Reel 2748-2749, Page 5",Superintendent: A Hood.
1843,Hood,W H,Kiandra,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 60",Superintendent: W Atkins.
1840,Hood & Dowzell,,Bowling,George James McDonald Brisbane 1 Jan - 6 May 1840,"NRS 906 [X816]; Reel 2748-2749, Page 12",Superintendent:  Proprietors.
1845,Hood & Twaddelle,,Gunning,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 74",Superintendent: J Hood.
1845,Hooke,,Ermington,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 36",Superintendent: J Hooke.
8 April 1844,Hope,Abraham,Bronda,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 19",Superintendent: Abraham Hope.
8 April 1844,Hope,Abraham,Bumbaldy,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 60",Superintendent: Abraham Hope.
22 May 1844,Hope,Abraham,Bumbalary,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 5",Superintendent: A Hope.
8 April 1844,Hope,Abraham,Bumbaldry,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 26",Superintendent: Abraham Hope.
January 1840,Hope,Abraham,Banebalong,King & Murray Borowa River Left Banks of Lachlan River Half Yearly Return of Pupulation and Live Stock,"NRS 906 [X813]; Reel 2748-2749, Page 24",Superintendent: A Hope.
1846 December,Hope,Hon L,Eurimbola,Bathurst & Wellington W C Mayne,"NRS 906 [X817]; Reel 2748-2749, Page 6",Superintendent:  Owner.
1846 December,Hope,Hon L,Eurimbola,William Colburn Mayne Itinerearies district of Wellington,"NRS 906 [X817]; Reel 2748-2749, Page 1",Superintendent:  Owner.
1844 April,Hopkess,J O,Gononaui,Roderick Mitchell Commissioner of  Crown Lands for District of Brisbane and known as the District of Liverpool Plains,"NRS 906 [X817]; Reel 2748-2749, Page 18",Superintendent: H Shepherd.
1844,Hopkins,,Roadknights,Foster Fyans Portland Bay April 1844,"NRS 1391 [X690]; Reel 2756, Page 16",Superintendent:  Hopkins.
1842,Hopkins,,,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 14",Superintendent:  Gibbs.
1844,Hopkins,H,Stone Range,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 29",Superintendent: H Hopkins.
1845,Hopkins,Henry,Stoney Rises,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 48",Superintendent: T W Roadknight.
1844,HOpkins,Henry,Stoney Rises,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 37",Superintendent: Thos Roadknight.
January 1844,Hopkins,Henry,Stoney Rises,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 5",Superintendent: Thos Roadknight.
1844,Hore,J,Yeoman,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 24",Superintendent: J Hore.
1847,Hore,J,Irenmena,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 49",Superintendent: J Hore.
1845,Hore,J,,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 37",Superintendent: P McGuire.
1845,Hore,J,,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 37",Superintendent: R Brown.
1845,Hore,J Jnr,Turrumu,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 42",Superintendent: J Jnr Hore.
August 1843,Horicks,Barcher,Wembrook,Itinerary of John Lambie County of Murray and St Vincent August 1843 to April 1844,NRS 905 [4/10803.2]; Page 12,Superintendent: Barcher Horicks.
8 April 1844,Horman,William,Watomendara,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 11",Superintendent: William Horman.
10 September 1839,Horn,James,Nandittygong,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 18",Superintendent: James Horn.
8 April 1844,Horne,James,Wantabadyeree,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 72",Superintendent: James Horne.
8 April 1844,Horne,James,Gobergomblin,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 16",Superintendent: James Horne.
22 May 1844,Horne,James,Wantebadgerie,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 6",Superintendent: E Ryan.
8 April 1844,Horne,Jane,Yonco,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 15",Superintendent: Henry Williams.
22 May 1844,Horne,Mrs,Gobugoblin,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 6",Superintendent: H William.
8 April 1844,Horne,William,Youco,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 32",Superintendent: William Horne.
8 April 1844,Horne,William,Yonco,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 73",Superintendent: William Horne.
1847,Horseley,John,Thulka,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 56",Superintendent: Charles Horseley.
1847,Horsely,John,Thulka,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 64",Superintendent: Charles Horsely.
1848,Horsley,John,Thulka,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent: Charles Horsley.
1839,Hosking,John,Cambelong,John Lambie Counties of St Vincent and Murray,"NRS 906 [X815]; Reel 2748-2749, Page 5",Superintendent: J P Besnard.
1847,Hosking,John,Glenbog,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 64",Superintendent: Charles Marshall.
10 September 1839,Hosking,John,Wyringobilly,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 18",Superintendent: George Oakes.
1839,Hosking & Besnard,,Little Plain Heifer Station,John Lambie Counties of St Vincent and Murray,"NRS 906 [X815]; Reel 2748-2749, Page 5",Superintendent: Richard Hargrave.
1839,Hosking & Besnard,,Snowy River,John Lambie Counties of St Vincent and Murray,"NRS 906 [X815]; Reel 2748-2749, Page 5",Superintendent: Richard Hargrave.
1848,Hoskings,John,Glan Baf,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent: Charles Marshall.
1846,Hoskings,John,Glen Bog,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 49",Superintendent: James Marshall.
1839,Hoskings,John,Snowy River,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 18",Superintendent: THomas Werster.
1846,Hoskings,John,Glen Bog,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 33",Superintendent: James Marshall.
1844,Hour,W E,Moroca,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 24",Superintendent: J Hour.
1846,Hovell,,Hiandra,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 75",Superintendent:  Campbell.
8 April 1844,Hovell,William,Howells Station,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 31",Superintendent: John Pitt.
1847,Hovell & Twidell,,Gunning,Wellington & Bathurst,"NRS 906 [X817]; Reel 2748-2749, Page 7",Superintendent: W Hood.
1844,Hovenden,,Portland,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 44",
1837,Howe,C,Watts Plain,Henry Oakes Esq Northward of the county of Gloucester and Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 27",Superintendent: C Howe.
1842,Howe,E,Howes,Henry Wilson Hutchinson Smythe County of Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 11",Superintendent: Jno Howe.
1842,Howe,E,Yabba,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 14",Superintendent:  Nil.
1845,Howe,E Snr,Moroca,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 42",Superintendent: Mr Walker.
1840,Howe,Ephraim,Coban,Commissioners of Crown Lands Itinerary Dalhunty and Fry County of King and Murray,"NRS 906 [X813]; Reel 2748-2749, Page 19",Superintendent: Enoch Hargreave.
1840,Howe,Ephraim,Warroo,Commissioners of Crown Lands Itinerary Dalhunty and Fry County of King and Murray,"NRS 906 [X813]; Reel 2748-2749, Page 19",Superintendent: John McAnn.
1844 April,Howe,G,Nollanger,Roderick Mitchell Commissioner of  Crown Lands for District of Brisbane and known as the District of Liverpool Plains,"NRS 906 [X817]; Reel 2748-2749, Page 20",Superintendent:  Owner.
1844,Howe,G & E,,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 32",Superintendent: G & E Howe.
8 April 1844,Howe,Messrs J & G,Wadgeydony,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 40",Superintendent: David Armstrong.
1837,Howe,Thomas,Murrumbidgee,Evelyn Shirley Pitfield Sturt Esq beyond the Murrumbidgee,"NRS 906 [X818]; Reel 2748-2749, Page 28",Superintendent: Ephrain Howe.
10 September 1839,Howe,Thomas,Gummangugerwah,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 11",Superintendent: Thomas Howe.
1844,Howe,W & E,Yumut,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 27",Superintendent: W & E Howe.
8 April 1844,Howe,W & LE,Lembidera,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 23",Superintendent: John Arstrong.
January 1840,Howe,William,Holyams,King & Murray Borowa River Left Banks of Lachlan River Half Yearly Return of Pupulation and Live Stock,"NRS 906 [X813]; Reel 2748-2749, Page 25",Superintendent: John Grierson.
1841,Howe,William,Bumbador,Edgar Beckham County of King Binalong Dec 20 1841,"NRS 906 [X811]; Reel 2748-2749, Page 1",Superintendent: E Hargrave.
8 April 1844,Howe,William & Edward,Cambebra,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 17",Superintendent: James Grierson.
22 May 1844,Howe,William L E,Parrebodna,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 3",Superintendent: J Greerson.
10 July 1839,Howe,William Snr,Queelam,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 2",Superintendent: William Snr Howe.
1844,Howell,,Kiandra,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 65",Superintendent:  Mason.
10 July 1839,Howell,John,Adgie,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 4",Superintendent: J James Howell.
8 April 1844,Howell,William,Bilgingetamble,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 48",Superintendent: Charles Kemp.
December 1839,Howes & Rolly,,Howes & Rollys Whaling Estates,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10803.3]; Page 2 back of,Superintendent:  Brown.
August 1839,Howler,,Howlers,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10803.3]; Page 1,Superintendent:  Howler.
1842,Howles,,Adgee,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 19",Superintendent:  Hassall.
1845,Howsen,,,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 37",Superintendent:  Hennesy.
1844,Hoyle,,Mt Bute,Foster Fyans Portland Bay April 1844,"NRS 1391 [X690]; Reel 2756, Page 16",Superintendent: J Hoyle.
1 July 1842,Hoyle,Duncan,Mount Bute,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 20",Superintendent: J Hoyle.
1845,Hoyle,Duncan,Monnit Bute,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 48",Superintendent: John Hoyle.
1845,Hoyle,Duncan,Colac,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 48",Superintendent: J Cavenhill.
1845,Hoyle,Duncan,Horse Rove Run,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 48",Superintendent: William Lawson.
1 July 1845,Hoyle,Duncan,Colac Run,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 43",Superintendent: J S Caverhill.
1 July 1845,Hoyle,Duncan,Mount Bute,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 43",Superintendent: A Menzies.
1 July 1845,Hoyle,Duncan,Horse Shoe Inn,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 43",Superintendent: W Lawson.
1846,Hoyle,Duncan,Mt Bute,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 9a",Superintendent: Alexander Menzies.
1846,Hoyle,Duncan,Halpin,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 9a",Superintendent: David Wilson.
1846,Hoyle,Duncan,Colac,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 9a",Superintendent: S Webster.
