,SURNAME,FIRSTNAME,RESIDENCE,DISTRICT,SITUATION,DATE OF LICENCE,LICENCE,COPY,ITEM,REMARKS,SERIES,
,MACGUIGAN,John,Maneroo,Maneroo,-,11/06/1842,0696,5071,[4/96],,NRS 14363,
,MACGUIGAN,John,Maneroo,Maneroo,Norongo,08/09/1843,0223,5075,[4/101],,NRS 14363,
,MACGUIGAN,Patrick,Stock Yard Flatt,Maneroo,Stock Yard Flatt,27/10/1843,0588,5076,[4/100],,NRS 14363,
,MACHATTIE,Richard,Bathurst,Lachlan,Illuni,02/09/1843,0197,5075,[4/101],,NRS 14363,
,MACINTOSH,-,Sydney,Lachlan,Merengo,19/01/1844,0681,5076,[4/100],and THACKER,NRS 14363,
,MACKAY,George E,Warouly,Murrumbidgee,Warouly,29/09/1841,0490,5072,[4/97],,NRS 14363,
,MACKAY,George E,Warouly,Murrumbidgee,Warouly,29/09/1841,0691,5071,[4/96],,NRS 14363,
,MACKAY,George Edward,Ovens River,Murrumbidgee,-,17/03/1840,0604,5069,[4/93],,NRS 14363,
,MACKAY,Hugh R,"Woodside, Bathurst",Wellington,Western,16/06/1838,0187,5067,[4/91],Other names mentioned: PAUL and CO,NRS 14363,
,MACKAY,J C,-,New England,Aberbaldie,04/07/1844,0009,5077,[4/103],,NRS 14363,
,MACKAY,John,Sydney,Maneroo,Gandery,30/10/1841,0713,5071,[4/96],,NRS 14363,
,MACKAY,John,Sydney,Maneroo,Gandery,25/11/1841,0570,5072,[4/97],,NRS 14363,
,MACKAY,Roderick,Urowa Nyrang,Lachlan,Urowa Nyrang,07/10/1839,0438,5068,[4/92],,NRS 14363,
,MACKAY,William,Bald Plains,Maneroo,Bald Plains,29/03/1844,0741,5076,[4/100],,NRS 14363,
,MACKENZIE,(Messrs),-,Murrumbidgee,Mullingandra,19/09/1844,0301,5077,[4/103],and MORRICE,NRS 14363,
,MACKENZIE,(Messrs),Kergania,Murrumbidgee,Kergania,26/09/1843,0363,5075,[4/101],and MORRICE,NRS 14363,
,MACKENZIE,(Messrs),Prospect,Port Macquarie,Nullah Nullah,30/09/1841,0699,5071,[4/96],and GRAHAM,NRS 14363,
,MACKENZIE,(Messrs),Prospect,Port Macquarie,Nullah Nullah,30/09/1841,0544,5072,[4/97],and GRAHAM,NRS 14363,
,MACKENZIE,C J (Mr),Moreton Bay,Moreton Bay,Fairnie Law,13/12/1844,0757,5078,[4/102],"and MACKENZIE, E (Mr)",NRS 14363,
,MACKENZIE,David,Sydney,Liverpool Plains,Reedy Creek terminating in the Big River,12/07/1839,0119,5068,[4/92],,NRS 14363,
,MACKENZIE,E (Mr),Moreton Bay,Moreton Bay,Fairnie Law,13/12/1844,0757,5078,[4/102],"and MACKENZIE, C J (Mr)",NRS 14363,
,MACKENZIE,John,Pitt Town,Liverpool Plains,Stoney Batter,15/06/1840,0666,5069,[4/93],,NRS 14363,
,MACKENZIE,John Kenneth,Liverpool,Maneroo,Dangalong,21/05/1840,0659,5069,[4/93],,NRS 14363,
,MACKENZIE,John Kenneth,Liverpool,Maneroo,Dangelong,14/10/1840,0533,5070,[4/94],,NRS 14363,
,MACKENZIE,R M,Sydney,New England,Salisbury Plains,20/07/1839,0194,5068,[4/92],,NRS 14363,
,MACKENZIE,R R,Tenterfield,New England,Tenterfield,22/02/1843,0702,5074,[4/99],,NRS 14363,
,MACKENZIE,S A,"Southgate, Clarence River",Port Macquarie,"Southgate, Clarence River",08/07/1842,0111,5073,[4/98],,NRS 14363,
,MACKENZIE,S A,"Southgate, Clarence River",Clarence River,"Southgate, Clarence River",30/09/1843,0483,5076,[4/100],,NRS 14363,
,MACKENZIE,S A,"Southgate, Clarence River",Port Macquarie,"Southgate, Clarence",25/06/1841,0020,5070,[4/95],,NRS 14363,
,MACKENZIE,S A,"Southgate, Clarence River",Port Macquarie,"Southgate, Clarence River",14/10/1840,0532,5070,[4/94],,NRS 14363,
,MACKENZIE,W H,Bathurst,Bathurst,Western,27/06/1838,0246,5067,[4/91],"Other names mentioned: WILSON, C and F",NRS 14363,
,MACKINTOSH,-,Sydney,Murrumbidgee,Gre Greg,02/05/1844,0760,5076,[4/100],and THACKER,NRS 14363,
,MACKINTOSH,W E,-,Murrumbidgee,Gre Grek,30/09/1844,0567,5078,[4/102],,NRS 14363,
,MACLAURIN,James,-,Murrumbidgee,Cropper's old Run,29/03/1845,0848,5078,[4/104],Other names mentioned: CROPPER (Run),NRS 14363,
,MACLEAY,Alexander,Sydney,Murrumbidgee,Tarcatta Creek,12/11/1844,0716,5078,[4/102],or MCLEAY,NRS 14363,
,MACLEAY,Alexander,Sydney,Murrumbidgee,Tarcutta Creek,11/03/1844,0722,5076,[4/100],or MCLEAY,NRS 14363,
,MACLEAY,Alexander,-,Clarence River,Ellerslie,12/11/1844,0717,5078,[4/102],,NRS 14363,
,MACLEAY,Alexander,Sydney,Clarence River,Ellerslie,14/03/1844,0723,5076,[4/100],,NRS 14363,
,MACLEAY,George,"Sydney, Elizabeth Bay",Murrumbidgee,Tarcutta Creek,26/09/1840,0410,5070,[4/94],or MCLEAY,NRS 14363,
,MACLEOD,Alexander,Black Creek,Liverpool Plains,Black Creek,01/09/1842,0325,5073,[4/98],,NRS 14363,
,MACLEOD,Alexander,Cobbrabald Creek,New England,Cobbrabald Creek,25/06/1840,0671,5069,[4/93],,NRS 14363,
,MACLEOD,Donald,"Burronoge, Hume River",Murrumbidgee,"Burronoge, Hume River",23/09/1840,0373,5070,[4/94],Issued as No.273,NRS 14363,
,MACLEOD,Hugh,Guttaboloo,Bligh,Guttaboloo,28/07/1842,0179,5073,[4/98],,NRS 14363,
,MACMILLAN,C A,Clarence River,Port Macquarie,Boundary descreased in Licence see application,13/02/1841,0582,5070,[4/94],,NRS 14363,
,MACNABB,(Messrs),Tiara,New England,Tiara,11/09/1843,0234,5075,[4/101],,NRS 14363,
,MACNAMARRA,John,Gobarralong,Murrumbidgee,Gobarralong,12/10/1843,0791,5074,[4/99],,NRS 14363,
,MACNAMARRA,M,Sawyers Creek,Lachlan,Sawyer's Creek,27/11/1843,0626,5076,[4/100],,NRS 14363,
,MACNAMARRA,Thomas,Liverpool Plains,Liverpool Plains,Pallal on Gwydir River and one of Mr Ogilvie's stations,12/11/1841,0566,5072,[4/97],Other names mentioned: OGILVIE (Mr) (Station),NRS 14363,
,MACNISH,William,Clarence River,Port Macquarie,Clarence River (South bank),10/06/1841,0634,5070,[4/95],,NRS 14363,
,MACPHERSON,A,Sydney,Liverpool Plains and New England,Big River,21/09/1842,0418,5074,[4/99],"and MACPHERSON, W",NRS 14363,
,MACPHERSON,Allan,-,Liverpool Plains,Keera,29/09/1845,0611,5080,[4/107],,NRS 14363,
,MACPHERSON,Duncan,-,Lachlan,Bogandillan,16/03/1846,1198,5081,[4/108],or MCPHERSON,NRS 14363,
,MACPHERSON,W,Sydney,Liverpool Plains and New England,Big River,21/09/1842,0418,5074,[4/99],"and MACPHERSON, A",NRS 14363,
,MACPHERSON,William,-,New England,Brodie's,29/09/1845,0610,5080,[4/107],Other names mentioned: BRODIE (Station),NRS 14363,
,MACPHERSON,William,Sydney,New England and Liverpool Plains,Brodies and Big River,30/09/1843,0492,5076,[4/100],Other names mentioned: BRODIE (Station),NRS 14363,
,MACQUEEN,Thomas Porter,Segenhoe,Liverpool Plains Orondanby Ing-lbar?,Northern,14/03/1837,0288,5067,[4/91],,NRS 14363,
,MACQUIGAN,C E?,Maneroo,Maneroo,Snowy River and Narongo,20/07/1839,0188,5068,[4/92],"and MACQUIGAN, J",NRS 14363,
,MACQUIGAN,J,Maneroo,Maneroo,Snowy River and Narongo,20/07/1839,0188,5068,[4/92],"and MACQUIGAN, C E?",NRS 14363,
,MACQUOID,Thomas,Waniassa?,Yass,Southern,12/04/1838,0075,5067,[4/91],,NRS 14363,
,MACQUOID,Thomas,Waniassa,Murrumbidgee,South Western,21/01/1837,0149,GvtG,,"and SIMPSON, D L",NRS 14363,
,MACQUOID,Thomas,Sydney,Murrumbidgee,Murrumbidgee opposite Isabella Plains district of Tumut,12/08/1841,0292,5072,[4/97],,NRS 14363,
,MACQUOID,Thomas,Sydney,Murrumbidgee,"Murrumbidgee opposite to Isabella River, district of Tumut",25/09/1840,0394,5070,[4/94],,NRS 14363,
,MACQUOID,Thomas H,-,Murrumbidgee,-,22/02/1844,0705,5076,[4/100],,NRS 14363,
,MAISTER,A J,New England,New England,Annbow?/Annbone?,21/09/1841,0431,5072,[4/97],,NRS 14363,
,MAISTER,Arthur Joseph,New England,New England,Annbow?/Armbon?,27/06/1840,0055,5069,[4/93],,NRS 14363,
,MAISTER,Arthur Joseph,Saumarez,New England,Bombilla,27/06/1840,0676,5069,[4/93],,NRS 14363,
,MAJORIBANKS,Gilbert,Krarawaree,Maneroo,Woombaguiga,24/08/1840,0285,5069,[4/93],,NRS 14363,
,MALADY,Paddy,-,Maneroo,Bubendora,21/09/1844,0326,5077,[4/103],,NRS 14363,
,MALADY,Paddy,Bubendora Creek,Maneroo,Bubendora Creek,07/07/1841,0651,5070,[4/95],£10 of which is for fee on Licence for the year commencing 1 July 1839 which was not taken out,NRS 14363,
,MALADY,Paddy,Bubindora,Maneroo,Bubindora,12/09/1842,0377,5073,[4/98],,NRS 14363,
,MALADY,Paddy,Bubindora,Maneroo,Bubindora,28/09/1841,0476,5072,[4/97],,NRS 14363,
,MALADY,Paddy,Bubindora,Maneroo,Bubindora,05/09/1843,0205,5075,[4/101],,NRS 14363,
,MALADY,Paddy,Monaroo,Monaroo,Southern,14/06/1838,0177,5067,[4/91],"Other names mentioned: SMITH, A B and CO",NRS 14363,
,MALADY,Patrick,-,Maneroo,Peak,19/09/1845,0340,5079,[4/105],,NRS 14363,
,MALAY,Patrick,Cunningham Creek,Lachlan,Cunningham Creek,17/02/1840,0573,5069,[4/93],,NRS 14363,
,MALLARD,Charles,-,Darling Downs,Peels Plains,22/06/1846,1252,5081,[4/108],,NRS 14363,
,MALLARD,Charles,Sydney,New England,"Eton Vale (A part of), from the old Head Station of Hodgson and Elliott",29/09/1842,0547,5074,[4/99],Other names mentioned: HODGSON and ELLIOTT (Station),NRS 14363,
,MALLARD,Charles,Sydney,Darling Downs,-,03/05/1844,0761,5076,[4/100],,NRS 14363,
,MALLOWNEY,Margaret,Nimbon/Nimbow,Murrumbidgee,Nimbon?/Nimbow?,27/07/1841,0213,5072,[4/97],,NRS 14363,
,MALONEY,Margaret,Nimbon/Nimbow,Murrumbidgee,Nimbon?/Nimbow?,29/10/1839,0485,5068,[4/92],,NRS 14363,
,MANGAN,Thomas Joseph,-,Murrumbidgee,Curradigby River,26/02/1845,0820,5078,[4/104],,NRS 14363,
,MANGIN,T J,-,Murrumbidgee,Couradigby,13/10/1845,0954,5081,[4/106],,NRS 14363,
,MANN,(Messrs),Blair Hill,Clarence River,Clarence River (Part of South branch),10/09/1844,0268,5077,[4/103],and HOOKE,NRS 14363,
,MANN,-,-,Clarence River,Ermington,29/09/1845,0583,5080,[4/107],and HOOK,NRS 14363,
,MANN,S F,Sydney,New England,Beardy Plains,30/09/1841,0505,5072,[4/97],,NRS 14363,
,MANN,S F,Sydney,Liverpool Plains,Northern,01/06/1837,0352,5067,[4/91],,NRS 14363,
,MANN,Samuel Furneaux,"Sydney, George Street",New England,Beardy Plains,29/06/1840,0079,5069,[4/93],,NRS 14363,
,MANN,Samuel Furneaux,"Sydney, George Street",Liverpool Plains,Peels River,06/07/1839,0073,5068,[4/92],,NRS 14363,
,MANNING,-,-,Lachlan,Demondril,09/10/1845,0931,5081,[4/106],and WISE,NRS 14363,
,MANNING,Edye,-,Clarence River,Ramornie,22/10/1845,0980,5081,[4/106],,NRS 14363,
,MANNING,Frederick,Illalong,Lachlan,Illalong,24/09/1842,0450,5074,[4/99],,NRS 14363,
,MANNING,Frederick,Illalong,Lachlan,Illalong,14/04/1842,0660,5071,[4/96],,NRS 14363,
,MANNING,Frederick,Knackie Knackie (at the source of),Murrumbidgee,Knacku Knacku (at the source of),17/03/1840,0601,5069,[4/93],"and MANNING, John",NRS 14363,
,MANNING,H T,-,Moreton Bay,Kerry,06/12/1845,1079,5081,[4/106],,NRS 14363,
,MANNING,J E,Sydney,Maneroo,Nimitybelle (Near),02/11/1839,0499,5069,[4/93],(For the late J NORRIS),NRS 14363,
,MANNING,J E,Sydney,Cunbunmure,South Western,11/02/1837,0217,GvtG,,,NRS 14363,
,MANNING,James,-,Lachlan,Cumburroma,09/10/1845,0928,5081,[4/106],,NRS 14363,
,MANNING,James,-,Lachlan,Camburmarra,30/09/1843,0451,5076,[4/100],,NRS 14363,
,MANNING,James,-,Lachlan,Illalong,09/10/1845,0929,5081,[4/106],,NRS 14363,
,MANNING,James,Yass,Yass,South Western,07/05/1838,0093,5067,[4/91],"Other names mentioned: MANNING, J E (Esq)",NRS 14363,
,MANNING,James,Cumburmurra,Murrumbidgee,Gaury near Tumut River,28/08/1840,0311,5070,[4/94],,NRS 14363,
,MANNING,James,Cumbarmurra,Lachlan,Cumbarmurra,28/08/1840,0310,5070,[4/94],,NRS 14363,
,MANNING,James,Sydney,Lachlan,Cumbermurra,12/05/1842,0676,5071,[4/96],,NRS 14363,
,MANNING,James,Cambamarow,Murrumbidgee,Levey?/Sevey? on the Little Tumut (levee?),20/04/1840,0649,5069,[4/93],,NRS 14363,
,MANNING,James,-,Lachlan,Cumburmarra,05/10/1844,0669,5078,[4/102],,NRS 14363,
,MANNING,James,Cumburmurra,Lachlan,Cumburmurra,28/09/1842,0508,5074,[4/99],,NRS 14363,
,MANNING,John,Knackie Knackie (at the source of),Murrumbidgee,Knacku Knacku (at the source of),17/03/1840,0601,5069,[4/93],"and MANNING, Frederick",NRS 14363,
,MANNING,W M,Sydney,Lachlan,Kurgong,21/09/1844,0324,5077,[4/103],,NRS 14363,
,MANNING,William,Sydney,Lachlan,Currongong?,19/05/1842,0684,5071,[4/96],,NRS 14363,
,MANNING,William,-,Lachlan,Curyong?/Curgong?,09/10/1845,0930,5081,[4/106],,NRS 14363,
,MANNING,William M,Sydney,Lachlan,Kuryong,29/09/1843,0434,5076,[4/100],,NRS 14363,
,MANNING,William M,Sydney,Lachlan,Kenyong,30/09/1842,0561,5074,[4/99],,NRS 14363,
,MANNING,William Montagu,Kurrygong,Lachlan,Kurrygong,29/09/1840,0457,5070,[4/94],£5 of which is for fee for half a year from 1st January to 30th June 1840 which was not taken out - as authorized per Col Sec letter No 40/174,NRS 14363,
,MANNING,William Montague,Kuryong,Lachlan,-,04/08/1840,0230,5069,[4/93],"Licence ""Cancelled""",NRS 14363,
,MARJORIBANKS,Gilbert,Sydney,Maneroo,Mungererie,23/09/1843,0343,5075,[4/101],,NRS 14363,
,MARJORIBANKS,Gilbert,Sydney,Maneroo,Mangerarie,29/12/1845,1116,5081,[4/106],,NRS 14363,
,MARKS,John,Mungowy Creek,Wellington,Nibilong,29/09/1842,0541,5074,[4/99],,NRS 14363,
,MARKS,William,Salem Vale,Lachlan,Bland Plain,01/10/1839,0425,5068,[4/92],,NRS 14363,
,MARKWELL,G T,-,Liverpool Plains,Woolabra,06/10/1845,0874,5081,[4/106],,NRS 14363,
,MARSDEN,-,Parramatta,Bathurst (beyond),Western and Northern,28/01/1837,0168,GvtG,,and BETTS,NRS 14363,
,MARSDEN,S J,-,Bligh,Yarragin,13/01/1845,0787,5078,[4/102],,NRS 14363,
,MARSDEN,S J,Bagie,Bligh,Yarramue,09/12/1843,0643,5076,[4/100],,NRS 14363,
,MARSH,C W,-,New England,Guyra,27/09/1845,0539,5080,[4/107],,NRS 14363,
,MARSH,Frances,-,Clarence River,Camira,02/11/1844,0709,5078,[4/102],,NRS 14363,
,MARSH,Francis,-,Clarence River,Camira,15/10/1845,0965,5081,[4/106],,NRS 14363,
,MARSH,M H,-,New England,Salisbury,28/09/1844,0506,5078,[4/102],,NRS 14363,
,MARSH,M H,-,New England,Salisbury and Boorolong,27/09/1845,0535,5080,[4/107],,NRS 14363,
,MARSH,M H,Salisbury,New England,Salisbury and Bornolong?,03/07/1841,0126,5070,[4/95],,NRS 14363,
,MARSH,M H,-,Darling Downs,Maryland,28/09/1844,0507,5078,[4/102],,NRS 14363,
,MARSH,M H,-,Darling Downs,Maryland,27/09/1845,0536,5080,[4/107],,NRS 14363,
,MARSH,M H,Sydney,New England,Bourolong,03/02/1841,0577,5070,[4/94],,NRS 14363,
,MARSH,W H,Salisbury,New England,Salisbury and Mollongo,02/06/1842,0005,5073,[4/98],or M H,NRS 14363,
,MARSH,W H,Salisbury,New England,-,30/09/1843,0460,5076,[4/100],or M H,NRS 14363,
,MARSHALL,Charles,Bigam,Maneroo,Bigam,30/09/1842,0562,5074,[4/99],,NRS 14363,
,MARSHALL,Charles,Snowy River,Maneroo,Snowy River,30/09/1841,0703,5071,[4/96],,NRS 14363,
,MARSHALL,Charles,Snowy River,Maneroo,Snowy River,30/09/1841,0531,5072,[4/97],,NRS 14363,
,MARSHALL,S,"Rosebrook, Maitland",Liverpool Plains,Gwydir River,11/09/1839,0369,5068,[4/92],,NRS 14363,
,MARSHALL,Sampson,Rose Brook,Liverpool Plains,Bulleroo,13/08/1841,0295,5072,[4/97],,NRS 14363,
,MARSHALL,Samson,Rosebrook,Liverpool Plains,Bulleroo,28/09/1840,0414,5070,[4/94],,NRS 14363,
,MARTIN,Alexander,Parramatta,Lachlan,Gullendon,16/07/1839,0157,5068,[4/92],,NRS 14363,
,MARTIN,Alexander,Woolgarlo,Lachlan,-,11/09/1840,0337,5070,[4/94],,NRS 14363,
,MARTIN,Alexander,Woolgarlo,Lachlan,Woolgarlo,06/01/1842,0675,5071,[4/96],,NRS 14363,
,MARTIN,J,-,Maneroo,Taylors Flat,24/12/1845,1106,5081,[4/106],(Executors of),NRS 14363,
,MARTIN,James,Taylors Station,Maneroo,Taylors Station,20/06/1840,0022,5069,[4/93],Other names mentioned: TAYLOR (Station),NRS 14363,
,MARTIN,James,Maneroo,Maneroo,Southern,19/06/1837,0363,5067,[4/91],,NRS 14363,
,MARTIN,James,Taylors Station,Maneroo,Taylors Station,25/07/1842,0739,5071,[4/96],(Executors of); Other names mentioned: TAYLOR (Station),NRS 14363,
,MARTIN,James,Jemmineraya/Jemmineraye,Maneroo,Jemmineraya?/Jemminerayee?,25/07/1842,0687,5069,[4/93],(Executors of); 1839-1840,NRS 14363,
,MARTIN,R (Junior),Richmond,Bligh (Beyond),Western,14/01/1837,0039,GvtG,,,NRS 14363,
,MARTIN,Robert,Cobra,Bligh,-,27/07/1842,0173,5073,[4/98],,NRS 14363,
,MARTIN,Robert,-,Bligh,Urabla,28/12/1843,0658,5076,[4/100],,NRS 14363,
,MARTIN,Robert,Richmond,Bligh,Western,11/06/1838,0167,5067,[4/91],"Other names mentioned: WILSON, C and F",NRS 14363,
,MARTIN,Robert,Richmond,Bligh,Urobola,18/06/1841,0003,5070,[4/95],,NRS 14363,
,MARTIN,Robert (Junior),-,Bligh,Eurobella,09/09/1845,0175,5079,[4/105],,NRS 14363,
,MARTIN,Robert (Junior),-,Bligh,Eurobla,24/06/1845,0890,5078,[4/104],,NRS 14363,
,MARTIN,Robert (Junior),-,Bligh,Peter Duffity,06/10/1845,0871,5081,[4/106],,NRS 14363,
,MARTIN,Robert (Junior),Richmond,Bligh,Big River (The),01/07/1839,0016,5068,[4/92],,NRS 14363,
,MARTIN,Robert (Junior),Richmond,Bligh,"Urobolar, Castlereagh River",02/09/1840,0321,5070,[4/94],,NRS 14363,
,MARTYN,(Messrs),-,Liverpool Plains,Warrah,26/09/1845,0516,5080,[4/107],and COMBES,NRS 14363,
,MARTYN,(Messrs),Sydney,Liverpool Plains,Warrah,29/09/1843,0422,5076,[4/100],and COMBES,NRS 14363,
,MARTYN,(Messrs),Sydney,Liverpool Plains,Warrah,27/08/1844,0201,5077,[4/103],and COMBES,NRS 14363,
,MARTYN,(Messrs),-,Liverpool Plains,Wallabadah,26/09/1845,0517,5080,[4/107],and COMBES,NRS 14363,
,MARTYN,John,Sydney,Liverpool Plains,Warra,11/08/1842,0234,5073,[4/98],"and COMBES, James",NRS 14363,
,MASON,(Messrs),Sydney,Lachlan,Wallendum,28/09/1843,0413,5076,[4/100],and THACKER and CO,NRS 14363,
,MASON,-,-,Moreton Bay,Samson Vale,08/09/1845,0157,5079,[4/105],and JOYNER,NRS 14363,
,MASON,-,Sydney,Lachlan,Wallendum Station,24/04/1843,0730,5074,[4/99],and THACKER and CO,NRS 14363,
,MASON,Mashfield,Sydney,Maneroo,"Corner Inlet, Gipps Land",24/09/1842,0456,5074,[4/99],,NRS 14363,
,MASON,Robert,-,Murrumbidgee,Maraket,26/09/1845,0513,5080,[4/107],,NRS 14363,
,MASON,Robert,-,Murrumbidgee,Maraket,28/09/1844,0483,5078,[4/102],,NRS 14363,
,MASON,William,Sydney,Bligh,Bundy,08/07/1841,0148,5070,[4/95],£10 per Mr GORE'S cheque; Other names mentioned: GORE (Mr),NRS 14363,
,MASON,William,Sydney,Bligh,Bundy,07/01/1841,0565,5070,[4/94],,NRS 14363,
,MASSON,William,Bundi,Bligh,Bundi,30/09/1842,0579,5074,[4/99],,NRS 14363,
,MATCHAM,C H N,Murrumbidgee,Murrumbidgee,Matcham's Station,06/09/1839,0342,5068,[4/92],,NRS 14363,
,MATCHAM,Charles Henry,Murrumbidgee,Yass (beyond),Southern,30/05/1837,0349,5067,[4/91],,NRS 14363,
,MATE,-,Campbelltown,"Boggy Flat, Mate Muratta (Messrs)",Southern,11/03/1837,0283,5067,[4/91],and KLENSENDORF; Other names mentioned: MURATTA,NRS 14363,
,MATE,T H,Tarcutta Creek,Murrumbidgee,Tarcutta Creek and Ten Mile Creek,11/06/1842,0013,5073,[4/98],,NRS 14363,
,MATE,T H,Umutbee,Murrumbidgee,Tarcutta Creek and Ten Mile Creek,08/08/1840,0341,5069,[4/93],Issued instead of No.241,NRS 14363,
,MATE,T H,Umutbee,Murrumbidgee,Tarcutta Creek and Ten Mile Creek,30/07/1841,0237,5072,[4/97],or J H,NRS 14363,
,MATE,T H,-,Murrumbidgee,Umutbee,16/07/1844,0035,5077,[4/103],,NRS 14363,
,MATE,T H,Gundagai,Murrumbidgee,Umutbee,02/09/1845,0119,5079,[4/105],,NRS 14363,
,MATE,Thomas H,Murrumbidgee,Murrumbidgee,Southern,21/01/1837,0148,GvtG,,,NRS 14363,
,MATE,Thomas H,Yass,Yass,Western,07/02/1838,0020,5067,[4/91],,NRS 14363,
,MATE,Thomas H,-,Murrumbidgee,"Tarcutta, Ten Mile Creek",23/09/1843,0338,5075,[4/101],,NRS 14363,
,MATE,Thomas Hodges,Umuttbee,Murrumbidgee,Tarcutta Creek,10/08/1839,0253,5068,[4/92],,NRS 14363,
,MATHER,-,Glenbog,Maneroo,Glenbog,29/08/1842,0310,5073,[4/98],and CRAIG,NRS 14363,
,MATHER,A,Glenbog,Maneroo,Glenbog,13/08/1841,0293,5072,[4/97],"and CRAIG, W",NRS 14363,
,MATHER,A,Glenbog,Maneroo,Glenbog,31/12/1840,0564,5070,[4/94],"and CRAIG, W",NRS 14363,
,MATHER,Alexander,Morrats Station,Maneroo,Morratts Station,14/11/1839,0518,5069,[4/93],Other names mentioned: MORRATT (Station),NRS 14363,
,MATHERSON,James,-,Lachlan,Wallandren,27/09/1845,0547,5080,[4/107],,NRS 14363,
,MATHESON,James,London,Lachlan,Wallendreen,13/01/1845,0786,5078,[4/102],or MATHERSON,NRS 14363,
,MAUGHAN,J,Wellington,Wellington,North Western,11/03/1837,0284,5067,[4/91],"and RAYMOND, William",NRS 14363,
,MAUGHAN,John,-,Bligh,Bickabinie,30/09/1844,0627,5078,[4/102],,NRS 14363,
,MAUGHAN,John,Bligh,Bligh and Wellington,Bickambini and Dundullamal,14/08/1843,0119,5075,[4/101],,NRS 14363,
,MAUGHAN,John,-,Bligh,Bickenbinie,30/09/1845,0825,5081,[4/106],,NRS 14363,
,MAUGHAN,John,-,Wellington,Dumdallama,30/09/1845,0826,5081,[4/106],,NRS 14363,
,MAUGHAN,John,-,Bligh,Rock Station,30/09/1845,0827,5081,[4/106],,NRS 14363,
,MAUGHAN,John,-,Wellington,Dundullamall,30/09/1844,0628,5078,[4/102],,NRS 14363,
,MAUGHAN,John,Dundullamall,Wellington and Bligh,Dundullamall and Beckunbumi,10/06/1842,0012,5073,[4/98],,NRS 14363,
,MAUGHAN,John,Wellington,Wellington,Western,14/05/1838,0107,5067,[4/91],"and RAYMOND, William; Other names mentioned: RAYMOND, J (Esq)",NRS 14363,
,MAWSON,George,Oakey Creek,Bligh,Oakey Creek,12/07/1844,0027,5077,[4/103],,NRS 14363,
,MAWSON,George,Oakey Creek,Bligh,Oakey Creek lately occupied by (Mr) Busby,11/04/1845,0855,5078,[4/104],Other names mentioned: BUSBY,NRS 14363,
,MAWSON,George,Colly Blue,Bligh,Oakley Creek,05/07/1843,0014,5075,[4/101],,NRS 14363,
,MAXWELL,John,Liddelton,Wellington,Narrigal,26/09/1840,0402,5070,[4/94],,NRS 14363,
,MAXWELL,John,-,Wellington,Narrogal,30/09/1845,0690,5080,[4/107],,NRS 14363,
,MAXWELL,John,Narrogal,Wellington,Narrogal,29/09/1842,0542,5074,[4/99],,NRS 14363,
,MAXWELL,John,-,Wellington,Narrogall,05/08/1844,0078,5077,[4/103],,NRS 14363,
,MAXWELL,John,Liddington,Wellington,Narrogall,30/09/1843,0476,5076,[4/100],,NRS 14363,
,MAXWELL,John,Liddleton Clwyd,Wellington,Narrowgal,05/08/1839,0227,5068,[4/92],,NRS 14363,
,MAXWELL,John,Liddleton,Wellington,Naragal,30/09/1841,0545,5072,[4/97],,NRS 14363,
,MAXWELL,John,Liddleton,Wellington (beyond),Western,14/03/1837,0287,5067,[4/91],,NRS 14363,
,MAY,Frederick,Maratta,Maneroo,Maratta and Banandra,27/07/1841,0215,5072,[4/97],"Other names mentioned: THROSBY, C",NRS 14363,
,MAYE,Frederick,Maratta,Maneroo,Maratta and Banandra,30/09/1840,0464,5070,[4/94],Indexed on reel as MAYO,NRS 14363,
,MAYE,Frederick,Marratta,Maneroo,Marratta,13/03/1840,0592,5069,[4/93],,NRS 14363,
,MAYER,Frederick,Monaroo,Monaroo,Southern,11/02/1837,0234,GvtG,,,NRS 14363,
,MAYNE,(Messrs),-,Clarence River,Fairy Mount,28/01/1845,0801,5078,[4/104],and FAWCETT; p (Captain) ASHMORE; Other names mentioned: ASHMORE (Captain),NRS 14363,
,MAYNE,(Messrs),Reedy Creek,Liverpool Plains,Reedy Creek River,30/09/1841,0548,5072,[4/97],and ELWIN; Indexed on reel as ELVIN,NRS 14363,
,MAYNE,-,Reedy,Liverpool Plains,Reedy,29/09/1842,0543,5074,[4/99],and ELWIN,NRS 14363,
,MAYNE,Edward,-,Liverpool Plains,Cryan,19/07/1843,0050,5075,[4/101],,NRS 14363,
,MAYNE,Edward,Liverpool Plains,Liverpool Plains,Cryan,03/04/1843,0714,5074,[4/99],,NRS 14363,
,MAYNE,Robert,Reedy Creek,Liverpool Plains,Reedy Creek,04/04/1840,0640,5069,[4/93],,NRS 14363,
,MAYNE,Robert,Warryalda,Liverpool Plains,Warryalda and Reedy Creek,16/06/1840,0013,5069,[4/93],,NRS 14363,
,MAYNE,W C,St Clair,Liverpool Plains,Barwin River (Run on the West side of the),24/08/1842,0274,5073,[4/98],"Station:The station name has been variously listed on the licences as ""Arun"" and ""arun"", which may be either a station name or ""a run"" (which may possibly have been followed by a further description on the original licence)",NRS 14363,
