SA Item,SG Map,Area,Firstname,Surname,Date,Description,Remarks
[5575],S.63a.907,Sydney Streets,W,Lewis,18 Apr 1864,Plan of Bridge Lane showing the original boundaries and the proposed new alignment. This is a copy of S.63.907 for the Executive Council.Laid before the Executive Council 2 May 1864,
[3491],L.18.1634,Lithographs,W & C,Lewis,1865,"Lithograph plan showing streets at Wahgunyah, the property of J Ford (South side of Murray River with buildings), also North Wahgunyah (private village) property of J Ford and JM Sanger, Parish Corowa, County Hume",
[4808],P.714.r,Parramatta,-,Lewis (draftsman),May 1859,"Plan showing the proposed alignment of Factory Street, from Fleet Street to the Parramatta River",
[2799],G.947,Gunning,M,Lewis (Jr),1838,"Village design plan.Original survey done by Thomas Townsend, 1 Nov 1836; copy by Davidson, Dec 1836",
[3824],M.991a,Mudgee,NW,Lewis (Jr),1837,Village - Plan of design for approval. Approved 1838,
[4347],M.2231,Manildra,-,Liddell,27 Mar 1879,"Village site and design on Mandageny Creek, Parish Dulladery County Ashburnham",
[2705],E.2289,Eugowra,A,Liddell,Jun 1879,"Eugowra Village site, Parishes of Eugowra and Trajere, County Ashburnham by A Liddell, Jun 1879. Existing buildings, Inns, Stores, Barracks etc. shown",
[6041],W.1.1607,Wivenhoe,-,Lindo,11 Dec 1856,"Wivenhoe Village, County Cavendish (Queensland) on Brisbane River.Survey of sections 1-7, 11 & 12 into allotments. Abandoned as site for village, 1858",
[4342],M.2136,Mogo,-,Lindo,28 Dec 1872,"Town plan, Parishes Goba and Bateman, County St Vincent; many business and other locations shown",
[4650],N.2008,Nerrigundah,-,Linds,27 Jan 1868,"Nerrigundah Village, County Dampier. Numerous buildings shown along road and Gulph Creek",
[3504],L.28.1634,Lithographs,-,Lipscomb,20 Jun 1882,"Lithograph of plan allotments for auction sale at South Wagga, 13 Dec 1882",
[3505],L.29.1634,Lithographs,-,Lipscomb (?),-,"Lithograph of plan allotments for auction sale at South Wagga, 7 Oct 1874",
[3508],L.32.1634,Lithographs,WA,Lipscombe,1 Nov 1882,"Plan of sub-division Town of Wagga Wagga (Section 68) 74 lots, fronts Gurwood, Gossett, McKinnon and Albury Streets.Copies of plan to Surveyor General 25 Mar 1884",
[5712],S.4.1544,Sydney,-,Lithographed,1877,"Map of the City of Sydney and western, southern and eastern suburbs.The map was prepared at the Surveyor General's Office to illustrate the Report of the Sydney Sewage and Health Board. Tramways were chanted on 2 Mar 1882",
[6035],W.2.1565,Wellington,-,Lithographed at SGO,1878,Lithographic Plan of the town and environs of Wellington,
[6081],W.1851.a,Wantabadgery,-,Lithographed at SGO,Feb 1863,"Lithographic Plan of the village of Wantabadgery, for office use",
[6087],W.1885,Waratah,-,Lithographed at SGO,Feb 1864,"Lithographic Plan of the Village of Waratah, in the Parish of Newcastle, County of Northumberland.For office use",
[6082],W.1851.b,Wantabadgery,-,Lithographed at SGO,Feb 1863,Lithographic Plan of the village of Wantabadgery.Unannotated,
[6088],W.1893.a,Wondalga,-,Lithographed at SGO,1864,"Lithographic Plan of the Village of Wondalga, County of Wynyard",
[1615],B.2002 (2),Bow,J,Louden,1868,Design for village of Bow.Surveyor:James Loudon,
[1627],B.2101,Borambil,-,Loudon,1871,"Plan of the Village of Borambil, County Bligh",
[6101],W.1976,Wollar,-,Loudon,1867,Wollar Village site,
[1614],B.2002,Bow,J,Loudon,26 Mar 1868,"Bow Village, County Brisbane.Surveyor:James Loudon",
[5723],S.1.1659,Shoalhaven River,-,Lovegrove,nd,Shoalhaven River delta - Crookhaven? Heads and Mouth River,
[5489],S.84,Sydney,-,Lows,1832,Plan showing the Lumber Yard George and Bridge Streets Sydney divided into allotments for sale,
[5492],S.3.842,Sydney,-,Lows,1832,"Copy of S.842, and proposed Crescent Bridge Street to Macquarie Street",
[4740],P.509.a,Petersham (Parish),-,Loxton,Apr 1867,"Compilation of the Parish of Petersham, for office use",
[4676],O.5.1208,Ordnance Lands (Sydney),HW,Lugard,Jun 1842,"Sketch of ground at corner of Bent and Bligh Streets, Sydney, required for Ordnance purposes",
[4678],O.6.1208,Ordnance Lands,HW,Lugard,Oct 1842,"(Sydney Water Reserve)Survey of ground for new Military Barracks at Sydney Common, required for Ordnance purposes",
[4679],O.7.1208,Ordnance Lands,HW,Lugard,Jul 1842,(Liverpool) Sketch of ground at Liverpool required for Ordnance purposes,
[4681],O.8.1208,Ordnance Lands,HW,Lugard,Jul 1842,(Windsor)Sketch of ground at Windsor required for Ordnance purposes (Military Barracks),
[4683],O.10.1208,Ordnance Lands,HW,Lugard,Nov 1842,(Newcastle)Sketch of ground at Newcastle required for Ordnance purposes (Military Barracks),
[4672],O.1.1208,Ordnance Lands,HW,Lugard,Jun 1842,"(Fort Phillip) Sketch of ground at Fort Phillip, Sydney, required for Ordnance purposes",
[4673],O.2.1208,Ordnance Lands (Sydney),HW,Lugard,Jun 1842,"Sketch of ground at Dawes Battery, Sydney, required for Ordnance purposes",
[4685],O.11.1208,Ordnance Lands (Sydney),HW,Lugard,Jan 1843,"Sketch of Goat Island, Sydney Harbour, required for Ordnance purposes",
[4686],O.12.1208,Ordnance Lands,HW,Lugard,Jul 1842,"(Parramatta)Sketch of ground in George Street, Parramatta, required for Ordnance purposes (MilitaryBarracks)",
[4675],O.3.1208,Ordnance Lands (Sydney),HW,Lugard,Jan 1843,"Sketch of ground at Fort Macquarie, Sydney Harbour, required for Ordnance purposes",
[4687],O.13.1208,Ordnance Lands,HW,Lugard,Jul 1842,"(Parramatta)Sketch of ground in Macquarie Street, Parramatta, required for Ordnance purposes (Military Hospital)",
[4689],O.15.1208,Ordnance Lands,HW,Lugard,1843,"(Parramatta)Sketch of ground at Macquarie Street, Parramatta, required for Ordnance purposes (Military Barracks and Officers' quarters)",
[2579],D.47.1321,Lower Darling,-,MacCabe,Mar 1851,Lower Darling Squatting District. Part of road towards Adelaide via Lake Victoria with stations and native names - County Tara,2 of 3
[2564],D.33.1321,Lower Darling,-,MacCabe,,"Survey of Road Murrumbidgee River to Lachlan, Nap Nap, Paule and Towpruck Stations",3 of 3
[2580],D.48.1321,Lower Darling,-,MacCabe,7 May 1851,Lower Darling Squatting District. Part of road towards Adelaide via Lake Victoria with stations and native names - County Tara,3 of 3
[2586],D.56.1321,Lower Darling,-,MacCabe,Dec 1851,Lower Darling Squatting District.Plans of road from Benanee Creek to near Lachlan River - Counties Taila and Caira.Native names shown,1 of 5
[2559],D.28.1321,Lower Darling,-,MacCabe,1850,"Lower Darling Squatting District. Survey of Murray River from Darling River to Chowella and road from Chowella to Moorana (Lake Victoria (Tara), stations & native names shown)",
[2560],D.29.1321,Lower Darling,-,MacCabe,1850,Lower Darling Squatting District.Reduction Survey of Road from Benanee Creek to Lachlan River,
[2561],D.30.1321,Lower Darling,-,MacCabe,1851,Lower Darling Squatting District.Reduction Survey of Lachlan River (Euabbalong District),
[2562],D.31.1321,Lower Darling,-,MacCabe,Mar 1851,"Survey of Road Murrumbidgee River to Lachlan, Nap Nap, Paule and Towpruck Stations",1 of 3
[2590],D.60.1321,Lower Darling,-,MacCabe,,Lower Darling Squatting District.Plans of road from Benanee Creek to near Lachlan River - Counties Taila and Caira.Native names shown,5 of 5
[2688],E.1413,Euston,-,MacCabe,1855,Survey of Euston or Nowong Reserve on Murray River,
[3733],M.52.831,Monaro/Murrumbidgee,-,MacCabe,,"Range at Tantangara, Eucumbeyan, Frying Pan Creek, Snow River, Ranges and Wambrook and Slack's Creeks, County Wallace",3 of 7
[2578],D.46.1321,Lower Darling,-,MacCabe,Mar 1851,Lower Darling Squatting District. Part of road towards Adelaide via Lake Victoria with stations and native names - County Tara,1 of 3
[3751],M.71.831,Monaro/Murrumbidgee,-,MacCabe,15 Dec 1843,Road from near McLaughlan River to Little Plain to connect Bendoo River with Murrumbidgee River & range dividing that river & Snowy River,M.71.831 not held
[3734],M.53.831,Monaro/Murrumbidgee,-,MacCabe,,"Range at Tantangara, Eucumbeyan, Frying Pan Creek, Snow River, Ranges and Wambrook and Slack's Creeks, County Wallace",4 of 7
[2581],D.49.1321,Lower Darling,-,MacCabe,7 May 1851,Lower Darling Squatting District.Plan part Lachlan River from Tittimmolo to Murrumbidgee River (formerly D.42) - Native & station names shown,
[2540],D.8.1321,Lower Darling,-,MacCabe,1848,Lower Darling Squatting District.Reduction survey of Murray River and Road from Taila Creek to Darling River,
[3735],M.54.831,Monaro/Murrumbidgee,-,MacCabe,,"Range at Tantangara, Eucumbeyan, Frying Pan Creek, Snow River, Ranges and Wambrook and Slack's Creeks, County Wallace",5 of 7
[2582],D.52.1321,Lower Darling,-,MacCabe,1 May 1851,"Lower Darling Squatting District.Part Murray River between Benanee Creek & Lake, to Murrumbidgee River & along that river to Lachlan River",
[3732],M.51.831,Monaro/Murrumbidgee,-,MacCabe,"Aug,17, 27 Sep 1843","Range at Tantangara, Eucumbeyan, Frying Pan Creek, Snow River, Ranges and Wambrook and Slack's Creeks, County Wallace",2 of 7
[3753],M.73.831,Monaro/Murrumbidgee,-,MacCabe,13 Jul 1843,"Road between Twofold Bay to Hibbard's 2 acres, County Auckland",
[3736],M.55.831,Monaro/Murrumbidgee,-,MacCabe,,"Range at Tantangara, Eucumbeyan, Frying Pan Creek, Snow River, Ranges and Wambrook and Slack's Creeks, County Wallace",6 of 7
[3737],M.56.831,Monaro/Murrumbidgee,-,MacCabe,,"Range at Tantangara, Eucumbeyan, Frying Pan Creek, Snow River, Ranges and Wambrook and Slack's Creeks, County Wallace",7 of 7
[2585],D.55.1321,Lower Darling,-,MacCabe,Dec 1851,Lower Darling Squatting District.Part Darling River - Counties Wentworth and Perry,
[3762],M.82.831,Monaro/Murrumbidgee,-,MacCabe,17 Apr 1846,"Plans of Mumbulla Mountains, to mouth of Bega River & reduced plan, County Dapier",4 of 4
[2587],D.57.1321,Lower Darling,-,MacCabe,Dec 1851,Lower Darling Squatting District.Plans of road from Benanee Creek to near Lachlan River - Counties Taila and Caira.Native names shown,2 of 5
[3763],M.83.831,Monaro/Murrumbidgee,-,MacCabe,5 Jan 1847,"Plans of range at sources of McLaughlan and Umeralla and Maharatta Creeks.Reduced Plan of range Bombala, Coolumbooka, Mount Cooper & Bondi, County Wellesley",1 of 3
[2591],D.61.1321,Lower Darling,-,MacCabe,1851,"Lower Darling Squatting District.Survey of Apple Tree Hill, otherwise Bocatham, with connection to Towpruck Reserve 5 miles south east",
[2589],D.59.1321,Lower Darling,-,MacCabe,1866,Lower Darling Squatting District.Plans of road from Benanee Creek to near Lachlan River - Counties Taila and Caira.Native names shown,4 of 5
[3769],M.89.831,Monaro/Murrumbidgee,-,MacCabe,8 Feb 1847,"Plans showing Genoa River, Nangatta and Yambulla Creeks with road from Nangatta to Wangarabell and Bondi towards Mount Cooper, County Wellesley and perhaps, Auckland",1 of 2
[3780],M.102.831,Monaro/Murrumbidgee,-,MacCabe,1847,"Survey Towamba and Mataganah & part of road between Monaro & Eden, County Auckland etc.Also Dividing Range between Genoa River and Coast",3 of 4
[3759],M.79.831,Monaro/Murrumbidgee,-,MacCabe,,"Plans of Mumbulla Mountains, to mouth of Bega River & reduced plan, County Dapier",1 of 4
[3760],M.80.831,Monaro/Murrumbidgee,-,MacCabe,,"Plans of Mumbulla Mountains, to mouth of Bega River & reduced plan, County Dapier",2 of 4
[3800],M.300.831,Monaro/Murrumbidgee,-,MacCabe,1843,"Wullwye Creek, rough plan, shows Arable, Buckleys, York Lodge of H Prendergast and The Twins (Mountain)",
[3778],M.100.831,Monaro/Murrumbidgee,-,MacCabe,,"Survey Towamba and Mataganah & part of road between Monaro & Eden, County Auckland etc.Also Dividing Range between Genoa River and Coast",1 of 4
[3779],M.101.831,Monaro/Murrumbidgee,-,MacCabe,,"Survey Towamba and Mataganah & part of road between Monaro & Eden, County Auckland etc.Also Dividing Range between Genoa River and Coast",2 of 4
[3761],M.81.831,Monaro/Murrumbidgee,-,MacCabe,17 Apr 1846,"Plans of Mumbulla Mountains, to mouth of Bega River & reduced plan, County Dapier",3 of 4
[3764],M.84.831,Monaro/Murrumbidgee,-,MacCabe,5 Jan 1847,"Plans of range at sources of McLaughlan and Umeralla and Maharatta Creeks.Reduced Plan of range Bombala, Coolumbooka, Mount Cooper & Bondi, County Wellesley",2 of 3
[2588],D.58.1321,Lower Darling,-,MacCabe,1866,Lower Darling Squatting District.Plans of road from Benanee Creek to near Lachlan River - Counties Taila and Caira.Native names shown,3 of 5
[3765],M.85.831,Monaro/Murrumbidgee,-,MacCabe,"Sep, Nov 1846","Plans of range at sources of McLaughlan and Umeralla and Maharatta Creeks.Reduced Plan of range Bombala, Coolumbooka, Mount Cooper & Bondi, County Wellesley",3 of 3
[3770],M.90.831,Monaro/Murrumbidgee,-,MacCabe,8 Feb 1847,"Plans showing Genoa River, Nangatta and Yambulla Creeks with road from Nangatta to Wangarabell and Bondi towards Mount Cooper, County Wellesley and perhaps, Auckland",2 of 2
[2548],D.16.1321,Lower Darling,-,MacCabe,1848,"Lower Darling Squatting District.Tracing of Darling River & Road from Murray River to Yaltolka & of Course of Darling River from Yaltolka to Minindia Creek, Minindee or Laidley's Ponds. Showing Proposed Land Reserves on thoroughfare",
[3781],M.103.831,Monaro/Murrumbidgee,-,MacCabe,1847,"Survey Towamba and Mataganah & part of road between Monaro & Eden, County Auckland etc.Also Dividing Range between Genoa River and Coast",4 of 4
[2549],D.17.1321,Lower Darling,-,MacCabe,1848,Lower Darling Squatting District,
[3731],M.50.831,Monaro/Murrumbidgee,-,MacCabe,"Aug,17, 27 Sep 1843","Range at Tantangara, Eucumbeyan, Frying Pan Creek, Snow River, Ranges and Wambrook and Slack's Creeks, County Wallace",1 of 7
[2553],D.20.1321,Lower Darling,-,MacCabe,1849,"Lower Darling Squatting District. Reduction of Plan of survey of Lachlan River from Towpruck to Ballanjercamble and adjacent road with stations and occupiers (see Counties of Waljeers, Franklin and Blaxland)",
[2563],D.32.1321,Lower Darling,-,MacCabe,Mar 1851,"Survey of Road Murrumbidgee River to Lachlan, Nap Nap, Paule and Towpruck Stations",2 of 3
[4697],O.1430,Oxley,F,MacCabe,1850or 1851,Oxley Village design at Towpruck,
[4915],P.1287,Panbula,F,MacCabe,8 Mar 1847,"Panbula Village Reserve with tracing, County Auckland.Walker's establishment shown on lagoon",
[1520],B.1405,Balranald,F,MacCabe,10 May 1850,"(""Caiera"" native name) approved Oct 1850",
[2538],D.6.1321,Lower Darling,FB,MacCabe,Jul 1848,(Noeyango Creek)Plan showing Lower Darling from Noeyango Creek to Taila Creek,
[4696],O.1429,Oxley,FJ,MacCabe,16 Oct 1851,"Oxley Village site (originally Towpruck Reserve) - on Lachlan River, County Waljeers - numerous native names & road to Nap Nap shown",
[2541],D.9.1321,Lower Darling,FP,MacCabe,1848,Lower Darling Squatting District.Tracing reduction of plans of D.7 & 8.1321,
[2542],D.10.1321,Lower Darling,FP,MacCabe,1848,"Lower Darling Squatting District.Plan of Murray River between Taila Creek and Darling River, with location of road towards Adelaide Stock Stations shown & native names, County Taila",1 of 5
[2565],D.34.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,1 of 9
[2583],D.53.1321,Lower Darling,FP,MacCabe,May 1851,Lower Darling Squatting District.Part of Murray River from Benanee Creek westerly to South Australian Border.Stations & roads shown - see County Tara,1 of 2
[2566],D.35.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,2 of 9
[2555],D.22.1321,Lower Darling,FP,MacCabe,1849,"Lower Darling Squatting District.Plans of Lower Darling River and road in use from Murray River upwards by FP MacCabe 1849 - Counties Wentworth, Perry etc. - stations and native names shown",2 of 5
[2567],D.36.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,3 of 9
[2568],D.37.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,4 of 9
[2569],D.38.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,5 of 9
[2593],D.66.1321,Lower Darling,FP,MacCabe,Jan & Mar 1852,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",1 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2570],D.39.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,6 of 9
[2571],D.40.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,7 of 9
[2035],C.230.730,Church Lands,FP,MacCabe,Aug 1845,"(Ghegederick, Monaro)Survey of land for an Episcopalian Church and Burial Ground at Ghegederick, Wullwye Creek, Monaro",
[2573],D.42.1321,Lower Darling,FP,MacCabe,Mar 1851,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,9 of 9
[2036],C.230a.730,Church Lands,FP,MacCabe,Aug 1845,"(Ghegederick, Monaro)Survey of land for an Episcopalian Church and Burial Ground at Ghegederick, Wullwye Creek, Monaro",
[2574],D.43.1321,Lower Darling,FP,MacCabe,1850& 22.3.1851,"Lower Darling Squatting District. Plans of part Murray River from the Darling River to the South Australian Border, Station & Native names shown and road",1 of 3
[2534],D.2.1321,Lower Darling,FP,MacCabe,Jul 1848,Lower Darling Squatting District.Plans of part of Murrumbidgee River from Lachlan to Murray River.The native names (numerous) along river and station owners are indicated - also on D.3. Waldaira (lake),2 of 3
[2595],D.68.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",3 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2536],D.4.1321,Lower Darling,FP,MacCabe,1848,"Lower Darling Squatting District. Plans of part of Murray River, Tittara and Noeyango Creeks and nearby lakes, - Native names & stations shown",1 of 2
[2596],D.69.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",4 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2539],D.7.1321,Lower Darling,FP,MacCabe,Aug 1848,"Lower Darling Squatting District. Plan of reduction survey of Murrumbidge & Murray Rivers Lower Darling District, with lakes & station names",
[2597],D.70.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",5 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2598],D.71.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",6 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2599],D.72.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",7 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2584],D.54.1321,Lower Darling,FP,MacCabe,May 1851,Lower Darling Squatting District.Part of Murray River from Benanee Creek westerly to South Australian Border.Stations & roads shown - see County Tara,2 of 2
[2600],D.73.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",8 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2601],D.74.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",9 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2602],D.75.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",10 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2603],D.76.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",11 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2594],D.67.1321,Lower Darling,FP,MacCabe,Jan & Mar 1852,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",2 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2604],D.77.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",12 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[3771],M.91.831,Monaro/Murrumbidgee,FP,MacCabe,8 Feb 1847,"Plan part Bombala River, Coolumbooka and Undowah Rivers and road from Mount Cooper towards Bondi and Bibbenluke to Tallaquaong, County Wellesley, etc.",
[2605],D.79.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",13 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2606],D.80.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",14 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[2607],D.81.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of survey of right bank of Darling in vicinity of Talyawalka, Counties of Werunda, Livingston etc.All native names shown",15 of 15 (D.63.1321; D.64.1321; D.65.1321; D.78.1321 not held)
[1522],B.1.1405,Balranald,FP,MacCabe,1850,Design for a township at north east end of Reserve at Caiera otherwise Balranald (on tracing paper),
[2543],D.11.1321,Lower Darling,FP,MacCabe,1848,"Lower Darling Squatting District.Plan of Murray River between Taila Creek and Darling River, with location of road towards Adelaide Stock Stations shown & native names, County Taila",2 of 5
[2533],D.1.1321,Lower Darling,FP,MacCabe,Jul 1848,Lower Darling Squatting District.Plans of part of Murrumbidgee River from Lachlan to Murray River.The native names (numerous) along river and station owners are indicated - also on D.3. Waldaira (lake),1 of 3
[3946],M.1411,Mourquong,FP,MacCabe,4 Sep 1850,"Mourquong (or Mount Look-out) Township design on Murray River, County Wentworth",
[2537],D.5.1321,Lower Darling,FP,MacCabe,1848,"Lower Darling Squatting District. Plans of part of Murray River, Tittara and Noeyango Creeks and nearby lakes, - Native names & stations shown",2 of 2
[3947],M.1412,Mourquong,FP,MacCabe,4 Sep 1850,Mourquong or Mount Lookout Reserve.Numerous native names shown on plan along River Murray and features,
[2535],D.3.1321,Lower Darling,FP,MacCabe,,Lower Darling Squatting District.Plans of part of Murrumbidgee River from Lachlan to Murray River.The native names (numerous) along river and station owners are indicated - also on D.3. Waldaira (lake),3 of 3
[2544],D.12.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plan of Murray River between Taila Creek and Darling River, with location of road towards Adelaide Stock Stations shown & native names, County Taila",3 of 5
[2554],D.21.1321,Lower Darling,FP,MacCabe,1849,"Lower Darling Squatting District.Plans of Lower Darling River and road in use from Murray River upwards by FP MacCabe 1849 - Counties Wentworth, Perry etc. - stations and native names shown",1 of 5
[2545],D.13.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plan of Murray River between Taila Creek and Darling River, with location of road towards Adelaide Stock Stations shown & native names, County Taila",4 of 5
[2546],D.14.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plan of Murray River between Taila Creek and Darling River, with location of road towards Adelaide Stock Stations shown & native names, County Taila",5 of 5
[2024],C.214.730,Church Lands,FP,MacCabe,Apr 1845,"(Cooma Creek)Survey of land for an Episcopalian Church, Burial Ground and Parsonage, at Cooma Creek, Monaro",
[2572],D.41.1321,Lower Darling,FP,MacCabe,Mar 1851,Lower Darling Squatting District. Lachlan River from near Kuagong Station at Kalingalungaguy Creek South west through County Waljeers etc. with road native names and station names shown by FPMacCabe Mar 1851 - Lake Waljeers indicated,8 of 9
[2556],D.23.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of Lower Darling River and road in use from Murray River upwards by FP MacCabe 1849 - Counties Wentworth, Perry etc. - stations and native names shown",3 of 5
[2575],D.44.1321,Lower Darling,FP,MacCabe,1850& 22.3.1851,"Lower Darling Squatting District. Plans of part Murray River from the Darling River to the South Australian Border, Station & Native names shown and road",2 of 3
[2557],D.24.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of Lower Darling River and road in use from Murray River upwards by FP MacCabe 1849 - Counties Wentworth, Perry etc. - stations and native names shown",4 of 5
[2576],D.45.1321,Lower Darling,FP,MacCabe,1850,"Lower Darling Squatting District. Plans of part Murray River from the Darling River to the South Australian Border, Station & Native names shown and road",3 of 3
[2558],D.25.1321,Lower Darling,FP,MacCabe,,"Lower Darling Squatting District.Plans of Lower Darling River and road in use from Murray River upwards by FP MacCabe 1849 - Counties Wentworth, Perry etc. - stations and native names shown",5 of 5
[6096],W.1937,Wilcannia,H,MacCormack,27 Nov 1865,"Wilcannia Village site on Darling River near Mount Murchison, and attached tracing of design",2 of 2
[6095],W.1937,Wilcannia,H,MacCormack,27 Nov 1865,"Wilcannia Village site on Darling River near Mount Murchison, and attached tracing of design",1 of 2
[4660],N.2282a,Nyngan,-,MacFarlane,1881,"Preliminary Survey, examination of sites, design for Village",
[2932],G.2221,Galargambone,E,MacFarlane,6 Aug 1878,Village design; Skuthorp's Inn and Polin and Kearney's store shown,
[1902],(To be kept with C.88.730),Church Lands,RR,Machattie,Nov 1875,"(Fish River, Bathurst)Plan of 40 acres of land at O'Connell Plains, Parish of Langdale",
[1654],B.2485.a,Berawinnia,-,Mackay,1885,Plan of levels taken at Berawinnia,
[6161],Y.2482.b,Yantabulla,-,Mackay,1885,Plan showing sections of levels taken in connection with survey for design of village,
[6160],Y.2482,Yantabulla,AE,Mackay,18 Aug 1885,"Yantabulla design for village, Parish Mucruss, County Irrara",
[3641],M.583.n,Maitland East,T,MacKay,Sep 1867,Tracing from which M.583.m (SR Map No.3640) was prepared,
[3594],L.2277,Lawson,RB,MacKenzie,1880,"Sketch showing proposed design of Village on the Blue Mountains, cancelled by L.2277a",
[3922],M.1277,Manning River,-,Maclean,Apr 1846,Design compilation included environs Wingham and settlement along the river,
[SZ188],I.537ee,Interior,AG,Maclean,Jan 1850,"Map of EB Kennedy's journey from Rockingham Bay towards Cape York, reaching Escape River nr Newcastle Bay near Cape York. Map completed from information in notes & papers hidden about the time of Kennedy's death in Dec 1848, at the hands of blacks, recove",
